condition,gene_a,gene_b,n_donors,mean_log2_diff,paired_t_p,wilcoxon_p,donors_a_gt_b,donors_b_gt_a,verdict,q_BH
Tumor,PIEZO1,PIEZO2,27,3.2390283943992615,2.3341859748883717e-14,8.29809930635731e-06,26,0,a_above_b,5.251918443498836e-14
Tumor,PIEZO1,TRPV4,27,2.7949562453151424,8.871106547665121e-10,1.6391277313232422e-06,26,1,a_above_b,1.5967991785797218e-09
Tumor,PIEZO1,TRPV2,27,-0.8577478769839202,0.007160351176458626,0.004926937111324901,6,19,b_above_a,0.008055395073515954
Tumor,PIEZO1,TRPM7,27,-0.5135047005143057,0.09474708952149093,0.016032774821640512,5,20,not_resolved,0.09474708952149093
Tumor,PIEZO1,TRPC1,27,3.4185817330964543,1.2893125292207648e-13,1.2290322210248409e-05,25,0,a_above_b,2.5786250584415296e-13
Tumor,PIEZO1,TMEM63A,27,-0.6149599885985698,0.00042405735662403546,0.0013844833456411803,5,17,b_above_a,0.0005088688279488425
Tumor,PIEZO1,TMEM63B,27,0.888993001691841,0.022867479011353,0.012814284489164544,20,5,a_above_b,0.024212624835550235
Tumor,PIEZO1,KCNK2,27,3.6717147577970026,1.4968666239730535e-16,8.29809930635731e-06,26,0,a_above_b,4.49059987191916e-16
Tumor,PIEZO1,KCNK4,27,3.6717147577970026,1.4968666239730535e-16,8.29809930635731e-06,26,0,a_above_b,4.49059987191916e-16
Normal,PIEZO1,PIEZO2,27,3.6006534215926567,8.083395643999103e-20,1.4901161193847656e-08,27,0,a_above_b,5.150470000337038e-19
Normal,PIEZO1,TRPV4,27,3.2707315199184688,4.673759746587354e-16,1.4901161193847656e-08,27,0,a_above_b,1.2018239348367481e-15
Normal,PIEZO1,TRPV2,27,-1.5882865582462062,4.7527249637630384e-09,1.3261018701143407e-05,1,25,b_above_a,7.777186304339517e-09
Normal,PIEZO1,TRPM7,27,-0.8967607869005241,1.5930416961026228e-05,6.334248366623973e-05,3,21,b_above_a,2.2057500407574775e-05
Normal,PIEZO1,TRPC1,27,3.491200749409643,5.855528233772843e-18,1.4901161193847656e-08,27,0,a_above_b,2.6349877051977792e-17
Normal,PIEZO1,TMEM63A,27,-0.7185603322345252,5.56921052192893e-05,6.331503391265869e-05,5,22,b_above_a,7.160413528194338e-05
Normal,PIEZO1,TMEM63B,27,1.4962591034439696,1.5450020718629218e-05,1.872638514690607e-05,24,2,a_above_b,2.2057500407574775e-05
Normal,PIEZO1,KCNK2,27,3.7052717212278945,3.101624142933683e-20,1.4901161193847656e-08,27,0,a_above_b,5.150470000337038e-19
Normal,PIEZO1,KCNK4,27,3.770539077616015,8.584116667228396e-20,1.4901161193847656e-08,27,0,a_above_b,5.150470000337038e-19
