dataset,gene,lineage,condition,n_donors,n_cells_total,det_pooled,det_pooled_lo95,det_pooled_hi95,det_donor_median,det_donor_q1,det_donor_q3,cpm_donor_median,cpm_donor_q1,cpm_donor_q3,donors_zero_count,umi_per_cell_median,band_pooled,band_donor_median,donors_in_floor_band,source,rank_in_panel
GSE154826,PIEZO1,NK,Tumor,27,7559,0.026240395948123885,0.02096069679007406,0.03017535601772521,0.022769403349913175,0.015566450489971961,0.03313005204060804,13.422668650238812,9.454129897047334,18.967305209800166,1,1684.3950617283951,floor,floor,26,"pseudobulk_raw (balanced, raw counts)",4
GSE154826,PIEZO1,NK,Normal,27,11495,0.027285052132025367,0.01985060656853616,0.03347166286874239,0.02225662251170657,0.013831850674644819,0.03780512907328998,13.007622466765525,9.162815196148893,19.979276106045504,0,1802.787162162162,floor,floor,27,"pseudobulk_raw (balanced, raw counts)",4
GSE154826,PIEZO2,NK,Tumor,27,7559,0.0023784343954107445,0.0006888897430383679,0.0037661482479046486,0.0,0.0,0.0009587724767890493,0.0,0.0,0.5592778604266172,20,1684.3950617283951,floor,floor,27,"pseudobulk_raw (balanced, raw counts)",7
GSE154826,PIEZO2,NK,Normal,27,11495,0.000869565162574415,0.0001249294161869363,0.0014471340642039448,0.0,0.0,0.0,0.0,0.0,0.0,23,1802.787162162162,floor,floor,27,"pseudobulk_raw (balanced, raw counts)",8
GSE154826,TRPV4,NK,Tumor,27,7559,0.0030381061068716075,0.0017759706673310394,0.004357911411017764,0.0,0.0,0.00467428875909609,0.0,0.0,2.559140320145616,15,1684.3950617283951,floor,floor,27,"pseudobulk_raw (balanced, raw counts)",6
GSE154826,TRPV4,NK,Normal,27,11495,0.001390941269110768,0.0006428212102925962,0.0021047269732192564,0.0,0.0,0.002282779698786541,0.0,0.0,1.3070685017301922,18,1802.787162162162,floor,floor,27,"pseudobulk_raw (balanced, raw counts)",6
GSE154826,TRPV2,NK,Tumor,27,7559,0.040688928722062534,0.03272772973823509,0.05110424717227363,0.03904049456983916,0.0279610274979325,0.06116363995893187,23.478508779285246,14.86778649361905,40.88010127701908,1,1684.3950617283951,floor,floor,16,"pseudobulk_raw (balanced, raw counts)",1
GSE154826,TRPV2,NK,Normal,27,11495,0.065360706379469,0.056444996610161204,0.07921118984967324,0.058662366144129785,0.04966739632932987,0.0829745984923016,40.03512759582601,32.24121310834023,52.41724232756182,0,1802.787162162162,measurable,measurable,7,"pseudobulk_raw (balanced, raw counts)",1
GSE154826,TRPM7,NK,Tumor,27,7559,0.03712886520639147,0.030618953138709288,0.04246408236885954,0.03581137086286279,0.026778489861718713,0.045205381762051244,20.12443609653021,15.237774256455541,26.35356355667499,1,1684.3950617283951,floor,floor,22,"pseudobulk_raw (balanced, raw counts)",3
GSE154826,TRPM7,NK,Normal,27,11495,0.04414596940016491,0.03529340038001043,0.05263752091850645,0.04274869025482575,0.03220783281985051,0.05291906693913617,24.86166260592844,19.437861367702638,29.039515365281297,0,1802.787162162162,floor,floor,18,"pseudobulk_raw (balanced, raw counts)",2
GSE154826,TRPC1,NK,Tumor,27,7559,0.0006612444379758831,0.0001510636836266982,0.0011597283031350187,0.0,0.0,0.0,0.0,0.0,0.0,23,1684.3950617283951,floor,floor,27,"pseudobulk_raw (balanced, raw counts)",8
GSE154826,TRPC1,NK,Normal,27,11495,0.0011302872334222336,0.00027560981795280993,0.0019358093459411168,0.0,0.0,0.0,0.0,0.0,0.0,22,1802.787162162162,floor,floor,27,"pseudobulk_raw (balanced, raw counts)",7
GSE154826,TMEM63A,NK,Tumor,27,7559,0.03903768200241464,0.03207606215026627,0.047365671876754396,0.03493088221031959,0.02575722049317447,0.04371433518833007,21.228819608636098,13.958750534069068,27.113756801057384,1,1684.3950617283951,floor,floor,22,"pseudobulk_raw (balanced, raw counts)",2
GSE154826,TMEM63A,NK,Normal,27,11495,0.03663274480898593,0.03153858071821186,0.04209891000006638,0.037573781960138275,0.028752801879897316,0.04603229874470066,23.07461561536154,16.051451887486923,26.351590856818213,0,1802.787162162162,floor,floor,21,"pseudobulk_raw (balanced, raw counts)",3
GSE154826,TMEM63B,NK,Tumor,27,7559,0.014968205812707414,0.011075680262468694,0.019132919264216376,0.012048046148026681,0.00570159766625894,0.02466418337136672,5.914692391635442,3.8782538147912415,14.136506253110056,4,1684.3950617283951,floor,floor,26,"pseudobulk_raw (balanced, raw counts)",5
GSE154826,TMEM63B,NK,Normal,27,11495,0.01493733618626869,0.00969748633282958,0.019248787322646402,0.009433891964903296,0.0016474449650985545,0.017559791708617045,5.127692358969231,1.389444666755591,10.454333204829812,7,1802.787162162162,floor,floor,27,"pseudobulk_raw (balanced, raw counts)",5
GSE154826,KCNK2,NK,Tumor,27,7559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1684.3950617283951,floor,floor,27,"pseudobulk_raw (balanced, raw counts)",9
GSE154826,KCNK2,NK,Normal,27,11495,0.0002609489829925593,0.0,0.0005982814362852889,0.0,0.0,0.0,0.0,0.0,0.0,25,1802.787162162162,floor,floor,27,"pseudobulk_raw (balanced, raw counts)",9
GSE154826,KCNK4,NK,Tumor,27,7559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1684.3950617283951,floor,floor,27,"pseudobulk_raw (balanced, raw counts)",9
GSE154826,KCNK4,NK,Normal,27,11495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,1802.787162162162,floor,floor,27,"pseudobulk_raw (balanced, raw counts)",10
