gene,lineage,n_pairs,mean_log2FC_tumour_vs_normal,ci95_lo,ci95_hi,paired_t_p,wilcoxon_p,det_tumour,det_normal,band_tumour,band_normal,measurable,note,paired_t_q_BH
PIEZO1,NK,27,-0.0988243198190125,-0.4866119613611424,0.28896332172311734,0.6048311288332747,0.8593128323554993,0.026240395948123885,0.027285052132025367,floor,floor,False,,0.680435019937434
PIEZO2,NK,27,0.262800707374383,0.0008895589106785451,0.5247118558380874,0.04928206911829011,0.0687035743228782,0.0023784343954107445,0.000869565162574415,floor,floor,False,,0.14784620735487033
TRPV4,NK,27,0.3769509547843147,-0.1437713592049617,0.8976732687735911,0.14878063424470706,0.10243436499289735,0.0030381061068716075,0.001390941269110768,floor,floor,False,,0.26525073322782017
TRPV2,NK,27,-0.8293630010812983,-1.2254166444751147,-0.433309357687482,0.00021058467307187462,3.769993782043457e-06,0.040688928722062534,0.065360706379469,floor,measurable,True,,0.0018952620576468716
TRPM7,NK,27,-0.4820804062052308,-0.9340527169685866,-0.030108095441874982,0.037492883771791205,0.018655240535736084,0.03712886520639147,0.04414596940016491,floor,floor,False,,0.14784620735487033
TRPC1,NK,27,-0.026205303505823715,-0.38550784401591986,0.3330972370042724,0.8819865612667757,0.8657723749926214,0.0006612444379758831,0.0011302872334222336,floor,floor,False,,0.8819865612667757
TMEM63A,NK,27,-0.20242466345496796,-0.643450603672215,0.23860127676227905,0.3541312973470822,0.31257040798664093,0.03903768200241464,0.03663274480898593,floor,floor,False,,0.45531166801767714
TMEM63B,NK,27,0.5084417819331162,-0.2443739503316097,1.2612575141978422,0.1768338221518801,0.17421257775480348,0.014968205812707414,0.01493733618626869,floor,floor,False,,0.26525073322782017
KCNK2,NK,27,-0.06526735638811974,-0.15832324623825597,0.027788533462016485,0.16132365948554678,0.17971249487899976,0.0,0.0002609489829925593,floor,floor,False,,0.26525073322782017
KCNK4,NK,27,0.0,0.0,0.0,,,0.0,0.0,floor,floor,False,"NO_VARIATION - zero counts in every donor, no test defined",
