condition,side,gene,n_donors,spearman_rho,p,statistic_is_the_Q6_one
Tumor,residency,ITGA1,27,0.03540903540903541,0.8608131261422423,False
Tumor,residency,CD69,27,-0.36996336996337,0.05750610105472459,False
Tumor,residency,ITGAE,27,-0.21001221001221002,0.29307437592659913,False
Tumor,egress,KLF2,27,0.16117216117216115,0.42190657242887647,False
Tumor,egress,S1PR1,27,0.2943459129208032,0.1361353702808642,False
Tumor,egress,S1PR5,27,-0.08608058608058607,0.6694399713006687,False
Tumor,egress,SELL,27,0.0115995115995116,0.9542085894577506,False
Tumor,control,KLRD1,27,0.15262515262515264,0.44725093613221506,False
Tumor,control,NKG7,27,0.1282051282051282,0.523936399928176,False
Normal,residency,ITGA1,27,0.5071849398314783,0.006930298964722901,False
Normal,residency,CD69,27,-0.3137973137973138,0.11094841624171205,False
Normal,residency,ITGAE,27,0.09157509157509157,0.6496282407086067,False
Normal,egress,KLF2,27,-0.1562881562881563,0.4362909960411006,False
Normal,egress,S1PR1,27,0.2619447443127354,0.18687340427236268,False
Normal,egress,S1PR5,27,-0.26495726495726496,0.18167055622337083,False
Normal,egress,SELL,27,0.07203907203907202,0.7210335182048956,False
Normal,control,KLRD1,27,-0.3278388278388278,0.09503930132074656,False
Normal,control,NKG7,27,-0.4682539682539682,0.01376577127047259,False
