symbol,ensg
PIEZO1,ENSG00000103335
PIEZO2,ENSG00000154864
TRPV2,ENSG00000187688
TRPV4,ENSG00000111199
TRPM7,ENSG00000092439
TRPC1,ENSG00000144935
TRPC6,ENSG00000137672
TMEM63A,ENSG00000196187
TMEM63B,ENSG00000137216
KCNK2,ENSG00000082482
KCNK4,ENSG00000182450
YAP1,ENSG00000137693
WWTR1,ENSG00000018408
ANKRD1,ENSG00000148677
CCN2,ENSG00000118523
IFNG,ENSG00000111537
GZMB,ENSG00000100453
MKI67,ENSG00000148773
ITGA1,ENSG00000213949
CD69,ENSG00000110848
ITGAE,ENSG00000083457
KLF2,ENSG00000127528
S1PR1,ENSG00000170989
SELL,ENSG00000188404
CTGF,
