library,lineage,n_cells,cd3_triple_pos_n,cd3_triple_pos_pct,cd3_any_pos_pct,batch,patient,probe_pos_frac
GSE154826_amp_batch_ID_1,NK,311,0,0.0,0.0,1,370,0.6752411575562701
GSE154826_amp_batch_ID_1,CD8T,474,156,32.91139240506329,96.83544303797468,1,370,0.8860759493670886
GSE154826_amp_batch_ID_1,CD4T,528,149,28.219696969696972,98.48484848484848,1,370,
GSE154826_amp_batch_ID_1,B,400,22,5.5,30.75,1,370,0.435
GSE154826_amp_batch_ID_1,Myeloid,896,4,0.4464285714285714,10.602678571428571,1,370,0.10379464285714286
GSE154826_amp_batch_ID_2,NK,53,0,0.0,0.0,2,370,0.6226415094339622
GSE154826_amp_batch_ID_2,CD8T,264,87,32.95454545454545,98.86363636363636,2,370,0.9204545454545454
GSE154826_amp_batch_ID_2,CD4T,415,120,28.915662650602407,98.3132530120482,2,370,
GSE154826_amp_batch_ID_2,B,203,5,2.4630541871921183,20.19704433497537,2,370,0.270935960591133
GSE154826_amp_batch_ID_2,Myeloid,829,9,1.0856453558504222,7.478890229191798,2,370,0.12424607961399277
GSE154826_amp_batch_ID_3,NK,746,0,0.0,0.0,3,371,0.7546916890080428
GSE154826_amp_batch_ID_3,CD8T,547,186,34.003656307129795,97.80621572212065,3,371,0.9542961608775137
GSE154826_amp_batch_ID_3,CD4T,687,211,30.71324599708879,97.67103347889375,3,371,
GSE154826_amp_batch_ID_3,B,337,20,5.934718100890208,28.486646884272997,3,371,0.5103857566765578
GSE154826_amp_batch_ID_3,Myeloid,1117,34,3.043867502238138,23.455684870188005,3,371,0.21844225604297224
GSE154826_amp_batch_ID_4,NK,341,0,0.0,0.0,4,371,0.4398826979472141
GSE154826_amp_batch_ID_4,CD8T,797,193,24.215809284818068,93.2245922208281,4,371,0.9021329987452948
GSE154826_amp_batch_ID_4,CD4T,654,143,21.865443425076453,92.20183486238533,4,371,
GSE154826_amp_batch_ID_4,B,1239,19,1.533494753833737,11.218724778046813,4,371,0.1509281678773204
GSE154826_amp_batch_ID_4,Myeloid,3057,17,0.5561007523716062,10.958456002616945,4,371,0.1272489368662087
GSE154826_amp_batch_ID_5,NK,355,0,0.0,0.0,5,377,0.1352112676056338
GSE154826_amp_batch_ID_5,CD8T,235,16,6.808510638297872,89.36170212765957,5,377,0.6851063829787234
GSE154826_amp_batch_ID_5,CD4T,282,18,6.382978723404255,82.26950354609929,5,377,
GSE154826_amp_batch_ID_5,B,1098,1,0.09107468123861566,0.6375227686703097,5,377,0.060109289617486336
GSE154826_amp_batch_ID_5,Myeloid,2532,0,0.0,3.6334913112164293,5,377,0.037914691943127965
GSE154826_amp_batch_ID_6,NK,85,0,0.0,0.0,6,377,0.5882352941176471
GSE154826_amp_batch_ID_6,CD8T,217,62,28.57142857142857,91.70506912442397,6,377,0.8986175115207373
