gene,quadrant_raw,quadrant_cor
FO538757.2,unclassified,unclassified
NOC2L,unclassified,unclassified
ISG15,unclassified,unclassified
TNFRSF18,unclassified,unclassified
TNFRSF4,unclassified,unclassified
SDF4,unclassified,unclassified
UBE2J2,unclassified,unclassified
CPSF3L,unclassified,unclassified
AURKAIP1,unclassified,unclassified
CCNL2,unclassified,unclassified
MRPL20,unclassified,unclassified
SSU72,unclassified,unclassified
MIB2,unclassified,unclassified
CDK11B,unclassified,unclassified
SLC35E2B,unclassified,unclassified
CDK11A,unclassified,unclassified
GNB1,unclassified,unclassified
FAAP20,unclassified,unclassified
RER1,unclassified,unclassified
TNFRSF14,unclassified,unclassified
LRRC47,unclassified,unclassified
C1orf174,unclassified,unclassified
KCNAB2,unclassified,unclassified
RPL22,unclassified,unclassified
CAMTA1,unclassified,unclassified
VAMP3,unclassified,unclassified
PARK7,unclassified,unclassified
RERE,unclassified,unclassified
ENO1,unclassified,unclassified
SLC25A33,unclassified,unclassified
PIK3CD,unclassified,unclassified
CLSTN1,unclassified,unclassified
CTNNBIP1,unclassified,unclassified
LZIC,unclassified,unclassified
PGD,unclassified,unclassified
DFFA,unclassified,unclassified
TARDBP,unclassified,unclassified
SRM,unclassified,unclassified
FBXO44,unclassified,unclassified
FBXO6,unclassified,unclassified
MAD2L2,unclassified,unclassified
AGTRAP,unclassified,unclassified
KIAA2013,unclassified,unclassified
MIIP,unclassified,unclassified
TNFRSF1B,unclassified,unclassified
DHRS3,unclassified,unclassified
PRDM2,unclassified,unclassified
EFHD2,unclassified,unclassified
SPEN,unclassified,unclassified
SZRD1,unclassified,unclassified
NECAP2,unclassified,unclassified
SDHB,unclassified,unclassified
UBR4,unclassified,unclassified
AKR7A2,unclassified,unclassified
CAPZB,unclassified,unclassified
MINOS1,unclassified,unclassified
DDOST,unclassified,unclassified
HP1BP3,unclassified,unclassified
USP48,unclassified,unclassified
CDC42,unclassified,unclassified
C1QA,unclassified,unclassified
C1QC,unclassified,unclassified
C1QB,unclassified,unclassified
LUZP1,unclassified,unclassified
HNRNPR,unclassified,unclassified
RPL11,unclassified,unclassified
PITHD1,unclassified,unclassified
LYPLA2,unclassified,unclassified
HMGCL,unclassified,unclassified
PNRC2,unclassified,unclassified
SRSF10,unclassified,unclassified
SRRM1,unclassified,unclassified
RUNX3,unclassified,unclassified
SYF2,unclassified,unclassified
RSRP1,unclassified,unclassified
TMEM50A,unclassified,unclassified
STMN1,unclassified,unclassified
ZNF593,unclassified,unclassified
SH3BGRL3,unclassified,unclassified
CD52,unclassified,unclassified
HMGN2,unclassified,unclassified
RPS6KA1,unclassified,unclassified
ARID1A,unclassified,unclassified
NUDC,unclassified,unclassified
SYTL1,unclassified,unclassified
WASF2,unclassified,unclassified
FGR,Q3,Q3
IFI6,unclassified,unclassified
STX12,Q4,unclassified
PPP1R8,unclassified,unclassified
THEMIS2,unclassified,unclassified
RPA2,unclassified,unclassified
DNAJC8,unclassified,unclassified
ATPIF1,unclassified,unclassified
PHACTR4,unclassified,unclassified
TRNAU1AP,unclassified,unclassified
SNHG12,unclassified,unclassified
TAF12,unclassified,unclassified
GMEB1,unclassified,unclassified
YTHDF2,unclassified,unclassified
EPB41,unclassified,unclassified
SRSF4,unclassified,unclassified
LAPTM5,unclassified,unclassified
PUM1,unclassified,unclassified
SNRNP40,unclassified,unclassified
ZCCHC17,unclassified,unclassified
PEF1,unclassified,unclassified
PTP4A2,unclassified,unclassified
KHDRBS1,unclassified,unclassified
KPNA6,unclassified,unclassified
CCDC28B,unclassified,unclassified
EIF3I,unclassified,unclassified
HDAC1,unclassified,unclassified
MARCKSL1,unclassified,unclassified
BSDC1,unclassified,unclassified
ZBTB8OS,unclassified,unclassified
RBBP4,unclassified,unclassified
YARS,unclassified,unclassified
S100PBP,unclassified,unclassified
AK2,unclassified,unclassified
SMIM12,unclassified,unclassified
SFPQ,unclassified,unclassified
KIAA0319L,unclassified,unclassified
PSMB2,unclassified,unclassified
AGO3,unclassified,unclassified
ADPRHL2,unclassified,unclassified
TRAPPC3,unclassified,unclassified
MAP7D1,unclassified,unclassified
THRAP3,unclassified,unclassified
LSM10,unclassified,unclassified
MRPS15,unclassified,unclassified
ZC3H12A,unclassified,unclassified
MEAF6,unclassified,unclassified
GNL2,unclassified,unclassified
C1orf122,unclassified,unclassified
SF3A3,unclassified,unclassified
UTP11L,unclassified,unclassified
AKIRIN1,unclassified,unclassified
NDUFS5,unclassified,unclassified
MACF1,unclassified,unclassified
PABPC4,unclassified,unclassified
PPIE,unclassified,unclassified
CAP1,unclassified,unclassified
PPT1,unclassified,unclassified
ZMPSTE24,unclassified,unclassified
SMAP2,unclassified,unclassified
NFYC,unclassified,unclassified
PPCS,unclassified,unclassified
PPIH,unclassified,unclassified
YBX1,unclassified,unclassified
P3H1,unclassified,unclassified
SVBP,unclassified,unclassified
EBNA1BP2,unclassified,unclassified
ELOVL1,unclassified,unclassified
MED8,unclassified,unclassified
ATP6V0B,unclassified,unclassified
DMAP1,unclassified,unclassified
ERI3,unclassified,unclassified
RPS8,unclassified,unclassified
PLK3,unclassified,unclassified
UROD,unclassified,unclassified
PRDX1,Q1,unclassified
AKR1A1,unclassified,unclassified
NASP,unclassified,unclassified
GPBP1L1,unclassified,unclassified
LRRC41,unclassified,unclassified
UQCRH,unclassified,unclassified
MKNK1,unclassified,unclassified
EFCAB14,unclassified,unclassified
CMPK1,unclassified,unclassified
RNF11,unclassified,unclassified
EPS15,unclassified,unclassified
OSBPL9,unclassified,unclassified
NRDC,unclassified,unclassified
TXNDC12,unclassified,unclassified
BTF3L4,unclassified,unclassified
PRPF38A,unclassified,unclassified
ZCCHC11,unclassified,unclassified
ECHDC2,unclassified,unclassified
SCP2,unclassified,unclassified
C1orf123,unclassified,unclassified
MAGOH,unclassified,unclassified
HSPB11,unclassified,unclassified
TMEM59,unclassified,unclassified
MRPL37,unclassified,unclassified
SSBP3,unclassified,unclassified
JUN,unclassified,unclassified
TM2D1,unclassified,unclassified
USP1,unclassified,unclassified
ITGB3BP,unclassified,unclassified
PGM1,unclassified,unclassified
JAK1,unclassified,unclassified
LEPROT,unclassified,unclassified
PDE4B,unclassified,unclassified
MIER1,unclassified,unclassified
SERBP1,unclassified,unclassified
GADD45A,Q3,Q3
SRSF11,unclassified,unclassified
ZRANB2,unclassified,unclassified
TYW3,unclassified,unclassified
ACADM,unclassified,unclassified
RABGGTB,unclassified,unclassified
PIGK,unclassified,unclassified
USP33,unclassified,unclassified
FUBP1,unclassified,unclassified
IFI44,unclassified,unclassified
PRKACB,unclassified,unclassified
RPF1,unclassified,unclassified
GNG5,unclassified,unclassified
CTBS,unclassified,unclassified
C1orf52,unclassified,unclassified
ODF2L,unclassified,unclassified
SH3GLB1,unclassified,unclassified
SEP15,unclassified,unclassified
LMO4,unclassified,unclassified
PKN2,unclassified,unclassified
GTF2B,unclassified,unclassified
GBP3,unclassified,unclassified
GBP1,unclassified,unclassified
GBP2,unclassified,unclassified
GBP4,unclassified,unclassified
GBP5,unclassified,unclassified
ZNF326,unclassified,unclassified
ZNF644,unclassified,unclassified
TGFBR3,Q3,unclassified
GLMN,unclassified,unclassified
RPAP2,unclassified,unclassified
RPL5,unclassified,unclassified
MTF2,unclassified,unclassified
TMED5,unclassified,unclassified
DR1,unclassified,unclassified
DNTTIP2,unclassified,unclassified
GCLM,unclassified,unclassified
SLC35A3,unclassified,unclassified
MFSD14A,unclassified,unclassified
TRMT13,unclassified,unclassified
RTCA,unclassified,unclassified
SLC30A7,unclassified,unclassified
VAV3,unclassified,unclassified
HENMT1,unclassified,unclassified
PRPF38B,unclassified,unclassified
STXBP3,unclassified,unclassified
TMEM167B,unclassified,unclassified
SARS,unclassified,unclassified
PSMA5,unclassified,unclassified
GNAI3,unclassified,unclassified
AHCYL1,unclassified,unclassified
LAMTOR5,unclassified,unclassified
CD53,unclassified,unclassified
LRIF1,unclassified,unclassified
DRAM2,unclassified,unclassified
DENND2D,unclassified,unclassified
ATP5F1,unclassified,unclassified
C1orf162,Q3,unclassified
RAP1A,unclassified,unclassified
CAPZA1,unclassified,unclassified
RHOC,unclassified,unclassified
PHTF1,unclassified,unclassified
RSBN1,unclassified,unclassified
