gene,quadrant,reason,delta,NK_log2FC,NK_SE,NK_CI95_lo,NK_CI95_hi,NK_changed,NK_equivalent,NK_TOST_p,CD8T_log2FC,CD8T_SE,CD8T_CI95_lo,CD8T_CI95_hi,CD8T_changed,CD8T_equivalent,CD8T_TOST_p,CD4T_log2FC,CD4T_SE,CD4T_CI95_lo,CD4T_CI95_hi,CD4T_changed,CD4T_equivalent,CD4T_TOST_p,B_log2FC,B_SE,B_CI95_lo,B_CI95_hi,B_changed,B_equivalent,B_TOST_p,Myeloid_log2FC,Myeloid_SE,Myeloid_CI95_lo,Myeloid_CI95_hi,Myeloid_changed,Myeloid_equivalent,Myeloid_TOST_p
FO538757.2,unclassified,no quadrant rule satisfied,1.0,-0.03577916693589038,0.1008196969539668,-0.2410148332482801,0.16945649937649931,False,True,2.8395107285773808e-11,-0.2551377053137094,0.08004734741225993,-0.41795500451502887,-0.09232040611238992,False,False,4.468053586175282e-11,-0.0979870581719336,0.07749982440010075,-0.25578538640121184,0.059811270057344657,False,False,2.113701151212948e-13,-0.4076544258035675,0.10121851375973447,-0.6140289495946083,-0.2012799020125266,False,False,9.099579730640916e-07,0.058022731473466496,0.08866224664310819,-0.12292230436734534,0.23896776731427832,False,True,4.474685622171409e-12
NOC2L,unclassified,no quadrant rule satisfied,1.0,-0.0379196601151733,0.14318950094586916,-0.32940627953024726,0.2535669592999007,False,True,6.362341583362007e-08,-0.0075931519253040185,0.08273996466773027,-0.17588726807922878,0.16070096422862074,False,True,6.430158583210026e-14,0.0022566496540368497,0.0928813252492198,-0.18686013817739056,0.19137343748546426,False,True,1.683126835848081e-12,0.220752353055065,0.08433749028255402,0.04879656405673338,0.3927081420533966,False,False,9.53188665570626e-11,0.09613973414993593,0.0781672281632492,-0.06338669831809887,0.2556661666179707,False,False,5.562484371073197e-13
ISG15,unclassified,no quadrant rule satisfied,1.0,0.5631685837901022,0.18718026075754696,0.1821312795950462,0.944205887985158,False,False,0.012972476458684672,0.6122412111115867,0.12583483861625838,0.3562915859052033,0.86819083631797,False,False,0.0020605684737179863,0.4378689645531288,0.12408669334318989,0.18521454995771952,0.6905233791485381,False,False,3.7969079654085765e-05,0.7230340045376016,0.1880104836640297,0.3396992509174335,1.1063687581577697,False,False,0.07536042238109548,0.3035817902675978,0.2038306904706723,-0.11240306223828117,0.7195666427734768,False,False,0.0009072529898285648
TNFRSF4,unclassified,no quadrant rule satisfied,1.0,0.5942302451525441,0.1671950925947088,0.2538761549343961,0.9345843353706921,False,False,0.010469793854331826,1.5126525004615874,0.17986083753227503,1.1468133222028563,1.8784916787203185,True,False,0.9962749264261161,1.593823433871166,0.12165910429863278,1.346111862641197,1.8415350051011352,True,False,0.9999862908429012,0.05478092857696308,0.21354209015627926,-0.38061024175730146,0.49017209891122765,False,True,5.442957098826041e-05,0.8388906804782461,0.24201687186327706,0.3449741239797783,1.3328072369767139,False,False,0.25530394326577466
SDF4,unclassified,no quadrant rule satisfied,1.0,-0.05584779294824538,0.08010692270027601,-0.218919079148728,0.10722349325223723,False,False,1.4012794399538845e-13,0.08422471992515933,0.06055798827184516,-0.03895098063499293,0.2074004204853116,False,False,9.348752858983881e-17,0.049659534025657405,0.060877768599473685,-0.07429442568567979,0.1736134937369946,False,False,6.491678640163237e-17,0.40732552415275114,0.1096909109298411,0.1836766217287681,0.6309744265767342,False,False,3.3049358558346612e-06,0.04923596189355125,0.05654892862969375,-0.06617108343936565,0.16464300722646816,False,False,2.797614485054614e-17
UBE2J2,unclassified,no quadrant rule satisfied,1.0,-0.1450669956609059,0.09677832559257482,-0.34207576217860763,0.051941770856795855,False,False,1.8683882633858948e-10,-0.08434897340555846,0.08518774050580315,-0.25762189602701935,0.08892394921590242,False,False,1.1878402762974957e-12,-0.06661037080922012,0.060271378628411115,-0.1893296525786477,0.05610891096020745,False,False,8.159433147904239e-17,0.06681190849420043,0.09117670607285804,-0.1190883640714214,0.2527121810598223,False,False,8.435017850738996e-12,0.052203012271888345,0.06722686916864565,-0.08499595021494488,0.18940197475872156,False,True,3.3216374167406403e-15
CPSF3L,unclassified,no quadrant rule satisfied,1.0,-0.04831055916699673,0.1388700761720513,-0.3310042537040529,0.23438313537005945,False,True,4.3326313212145117e-08,0.04230602273062801,0.06573586875286495,-0.09140155106156284,0.17601359652281884,False,False,2.7550744735376943e-16,0.002111768849750243,0.07810476506097738,-0.15691828636346838,0.1611418240629689,False,True,1.7502094985234634e-14,-0.055160790169749105,0.08672186705568911,-0.2319780872343049,0.12165650689480668,False,False,1.8129115001805853e-12,0.14304781555216892,0.0744947669275476,-0.008983728673377711,0.29507935977771554,False,False,6.329873809455214e-13
AURKAIP1,unclassified,no quadrant rule satisfied,1.0,0.05676957303261153,0.07932015263987406,-0.10470010869513634,0.21823925476035938,False,False,1.1064078101361024e-13,0.0734119467142401,0.05498830686266594,-0.038434952657985855,0.18525884608646606,False,False,3.844267983638399e-18,0.10565572968930542,0.05787511613509727,-0.012184493083919376,0.22349595246253023,False,False,8.679823187290207e-17,0.3968206906276243,0.09833339853269217,0.196328631011828,0.5973127502434207,False,False,4.0669751737045224e-07,0.11559299690645736,0.05220097126060398,0.009059416117599847,0.22212657769531485,False,False,2.2638296284063305e-17
CCNL2,unclassified,no quadrant rule satisfied,1.0,0.18546259303446597,0.11256586507259411,-0.043684399271539276,0.4146095853404712,False,False,1.46027124498786e-08,-0.13973472941123194,0.07606779344665854,-0.2944575664017289,0.014988107579264998,False,False,3.1217589252172887e-13,-0.020219120283012617,0.06352178952144644,-0.14955660291869327,0.10911836235266803,False,True,9.153048764191952e-17,0.01400671087678503,0.0720839502851972,-0.1329653237887007,0.1609787455422708,False,True,4.93946740626346e-15,0.3231325318618656,0.09084939917973657,0.13772387808767816,0.508541185636053,False,False,1.1909362049113894e-08
MRPL20,unclassified,no quadrant rule satisfied,1.0,0.039915396348386596,0.06808659791467003,-0.09868647126426211,0.1785172639610353,False,False,1.0425309567455739e-15,0.1984858547812236,0.0612316626538907,0.07393989215778438,0.3230318174046628,False,False,5.7736935646640094e-15,0.15156652366533824,0.05488938501724705,0.039805584072247796,0.2633274632584287,False,False,8.61346751806173e-17,0.15561667038197122,0.08309275618833717,-0.013801229090040695,0.32503456985398316,False,False,1.0032755494624946e-11,0.08337017754307799,0.04486689150234915,-0.00819575495170205,0.17493611003785803,False,False,1.1749754593563296e-19
