gene,quadrant,reason,delta,equiv_key,change_key,NK_log2FC,NK_SE,NK_CI95_lo,NK_CI95_hi,NK_CI90_lo,NK_CI90_hi,NK_null_change,NK_null_equiv,NK_saturated,NK_changed,NK_equivalent,NK_TOST_p,CD8T_log2FC,CD8T_SE,CD8T_CI95_lo,CD8T_CI95_hi,CD8T_CI90_lo,CD8T_CI90_hi,CD8T_null_change,CD8T_null_equiv,CD8T_saturated,CD8T_changed,CD8T_equivalent,CD8T_TOST_p,CD4T_log2FC,CD4T_SE,CD4T_CI95_lo,CD4T_CI95_hi,CD4T_CI90_lo,CD4T_CI90_hi,CD4T_null_change,CD4T_null_equiv,CD4T_saturated,CD4T_changed,CD4T_equivalent,CD4T_TOST_p,B_log2FC,B_SE,B_CI95_lo,B_CI95_hi,B_CI90_lo,B_CI90_hi,B_null_change,B_null_equiv,B_saturated,B_changed,B_equivalent,B_TOST_p,Myeloid_log2FC,Myeloid_SE,Myeloid_CI95_lo,Myeloid_CI95_hi,Myeloid_CI90_lo,Myeloid_CI90_hi,Myeloid_null_change,Myeloid_null_equiv,Myeloid_saturated,Myeloid_changed,Myeloid_equivalent,Myeloid_TOST_p
FO538757.2,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.04051226736094611,0.09886235480931557,-0.2419964129816028,0.16097187825971054,-0.20804241453488603,0.12701787981299378,0.19315717181805872,0.173429803911668,False,False,True,2.8340030271911276e-05,-0.195155975933707,0.0739291754540236,-0.34573062321081416,-0.04458132865659986,-0.32037482897376723,-0.06993712289364679,0.1546578701641048,0.124085231761401,False,False,False,0.00012320836052342194,-0.1573002066650796,0.07400247455534957,-0.3081947826024275,-0.006405630727731676,-0.2827510223649266,-0.031849390965232593,0.19962854907986965,0.1666322416777201,False,False,True,3.0495995773475177e-05,-0.350377152672212,0.09629754473371126,-0.5469803717511708,-0.15377393359325314,-0.513779687667953,-0.1869746176764709,0.27083173166405683,0.23303540222703503,False,False,False,0.06532542708621131,0.07360081958548491,0.09141078089435657,-0.11310014635840522,0.26030178552937505,-0.08155674717275645,0.22875838634372625,0.21972407540701927,0.18729767863719257,False,False,True,3.0100950867862438e-05
NOC2L,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.0035400828017163933,0.13765176609633045,-0.27699792925138356,0.2840780948548164,-0.22972181630386737,0.23680198190730015,0.27025911952187404,0.23466894543541933,False,False,True,0.0005281210202572437,-0.05665750290790493,0.07333392447866044,-0.2060197775985979,0.09270477178278806,-0.18086813904377005,0.0675531332279602,0.13690054599482865,0.12511597884067652,False,False,True,4.7128707923202093e-07,-0.018828264666415108,0.08073757096888229,-0.1834560234915467,0.14579949415871649,-0.1556965815237787,0.11804005219094849,0.17775702131593882,0.1583153190915568,False,False,True,6.734503046736755e-07,0.2734699702275506,0.08432734761622596,0.101305373055464,0.4456345673996372,0.13037906995525517,0.416560870499846,0.2289575589245183,0.2121697449482529,False,False,False,0.0058124764495114944,0.1127819473006484,0.07989662301515399,-0.050402050764343634,0.27596594536564045,-0.022831877435828887,0.2483957720371257,0.19544070584850015,0.19063304988248178,False,False,True,1.8044465763838256e-05
ISG15,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.5756409310324698,0.18897837453946484,0.1904979065889867,0.960783955475953,0.2554019992332723,0.8958798628316673,0.5683897561204353,0.46907890721617557,False,True,False,0.6541704197597155,0.6080972436954291,0.12680059118339732,0.3498371701221402,0.8663573172687179,0.3933264918876942,0.8228679955031639,0.4782358035833331,0.3660621275586887,False,True,False,0.7998707948710349,0.4419846660074397,0.12463536339873978,0.18784721425528655,0.6961221177595929,0.23069973131617835,0.653269600698701,0.3596390332534287,0.2755311646220328,False,False,False,0.3224114212766703,0.7609558764415353,0.19195483477458006,0.36905659657089607,1.1528551563121745,0.4352372229328687,1.0866745299502019,0.6106373938267794,0.514533072683024,False,True,False,0.9079727036718295,0.31152717247027556,0.20426460339470376,-0.10567086903875655,0.7287252139793077,-0.03518465437854296,0.658238999319094,0.5162438008762908,0.43680682270716187,False,False,False,0.18177246961955018
TNFRSF18,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.4786627723576493,0.15564144454027257,0.16146131041749,0.7958642342978086,0.2149159279648682,0.7424096167504304,0.49047086897843617,0.38597224276106956,False,False,False,0.4459142791330855,1.1567074865001885,0.16763250182569825,0.8152833507707025,1.4981316222296746,0.8727769613463696,1.4406380116540074,0.6174247989634032,0.5700571448175359,False,True,False,0.9997800083795898,1.2950550331127197,0.14421998529802535,1.000983603015347,1.5891264632100925,1.0505697654974446,1.5395403007279949,0.6937365473105904,0.6417029394308285,False,True,False,0.999997575685627,0.1185857948794345,0.24261897489342832,-0.37675052553857397,0.613922115297443,-0.2931023291042264,0.5302739188630954,0.7138030942248436,0.5500092607731636,False,False,False,0.06317173890213554,1.1106126197095514,0.2056032721305897,0.690680428643722,1.5305448107753807,0.7616285818400718,1.4595966575790311,0.7822399984369934,0.641552483175355,False,True,False,0.9970899667110458
TNFRSF4,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.584018669544882,0.15836650162709856,0.26126346776142584,0.9067738713283382,0.31565399852138903,0.852383340568375,0.3647932385284343,0.2986809458265802,False,True,False,0.7002724901916204,1.4929813638133396,0.18247508738443216,1.1213267125740933,1.8646360150525858,1.183910945939231,1.8020517816874482,0.6634326258023067,0.571896956696887,False,True,False,0.9999972729932122,1.5895725086929666,0.1218093279913933,1.3411974779535936,1.8379475394323397,1.3830783387589447,1.7960666786269885,0.9137161366080329,0.7584952442143892,False,True,False,0.9999999997963864,0.10883484464225736,0.2067955399006076,-0.31336355042645814,0.5310332397109728,-0.2420662664817409,0.4597359557662556,0.5466839839534093,0.44684993098563786,False,False,True,0.03408285144403015,0.6500445917990169,0.22741298547350286,0.18556738636790032,1.1145217972301333,0.2640414843966779,1.0360476992013559,0.6766805869000719,0.5234581416732508,False,False,False,0.7427836081839783
SDF4,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.048398800609650836,0.07908767196881206,-0.20958160923784813,0.11278400801854647,-0.1824191701439894,0.08562156892468771,0.1626186140444345,0.12074109323084871,False,False,True,1.3179580947613557e-06,0.08474026053696725,0.05563779257459846,-0.02857956131613934,0.19806008239007383,-0.009497238110703979,0.17897775918463849,0.11522727720300623,0.1042207352444469,False,False,True,8.391626679207945e-09,0.050840911215367705,0.05997290704133963,-0.07144670727452973,0.17312852970526516,-0.050826636436703036,0.15250845886743844,0.12957141500210861,0.10940182969584945,False,False,True,9.359342800358457e-09,0.45118299399845063,0.10429932694431082,0.23824315756000586,0.6641228304368954,0.27420263101850273,0.6281633569783985,0.3099564527125184,0.26444109133170607,False,False,False,0.3215539917041442,0.06310713596244254,0.05525853169339948,-0.04975505756505724,0.17596932948994232,-0.030686826153358035,0.1569010980782431,0.1308843268101053,0.11069208237515608,False,False,True,4.050504614471559e-09
UBE2J2,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.1306815707271991,0.09483281814926355,-0.3239534119498505,0.06259027049545232,-0.29138334656603004,0.030020205111631837,0.21586475562263238,0.1967240970465713,False,False,True,0.0002393139369387029,-0.09517902990782968,0.06762344843923171,-0.23291053893475444,0.042552479119095085,-0.20971744590085412,0.019359386085194732,0.14177741006004718,0.12336871886770898,False,False,True,5.59348298810702e-07,-0.06069390043720202,0.05697429229238239,-0.17686720040380527,0.055479399529401244,-0.15727812258581386,0.03589032171140981,0.13794936703513697,0.1125939108614292,False,False,True,5.1431398044619e-09,0.11832357647403169,0.08416592127667223,-0.05351144907618069,0.29015860202424404,-0.02449340743652159,0.261140560384585,0.23652128742103845,0.17708443664526338,False,False,True,4.254298719140212e-05,0.07095186937605406,0.06916154825634066,-0.07030639074707933,0.21221012949918744,-0.046440602668225375,0.18834434142033352,0.131398622710439,0.12452776615236992,False,False,True,3.9845719948027794e-07
CPSF3L,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.040514157123077314,0.13316867432222712,-0.31191550722242933,0.2308871929762747,-0.26617909956949154,0.1851507853233369,0.2641549239336581,0.22183282928254472,False,False,True,0.000805384773385104,0.029666076865286137,0.06271584492617949,-0.09806991059095255,0.15740206432152481,-0.07655999857604444,0.13589215230661672,0.1255842500531356,0.10610882152195826,False,False,True,7.599038546575486e-09,-0.02270771474310307,0.07602465154040959,-0.17772560602178694,0.1323101765355808,-0.1515865746237632,0.10617114513755707,0.17969012795017195,0.17184453617296191,False,False,True,2.720386689691058e-07,0.009685262598025083,0.07833934133695708,-0.1502540871534266,0.16962461234947676,-0.12324488634557713,0.1426154115416273,0.12570289820414512,0.11166789601394325,False,False,True,3.279543497750919e-07,0.157689788755046,0.07480233667562743,0.004910561014503656,0.31046901649558833,0.03072283329456993,0.28465674421552206,0.17100137326848816,0.1446691098717883,False,False,False,3.858627622793581e-05
AURKAIP1,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.07136992212562354,0.07782254486061936,-0.08723452333301959,0.22997436758426668,-0.06050658859574151,0.2032464328469886,0.16027160084111153,0.1499478392679992,False,False,True,2.3647340647929904e-06,0.0732530973221795,0.05362924481929987,-0.035975831213965984,0.18248202585832496,-0.017582387916711212,0.1640885825610702,0.1489815014298031,0.1038541052852604,False,False,True,2.165458575561251e-09,0.10755949304457978,0.056324043646650786,-0.007287918912993227,0.22240690500215277,0.0120775883996041,0.20304139768955545,0.12927684313411897,0.10696545194676187,False,False,False,3.926501122046375e-08,0.42148410779504664,0.09856261522955717,0.22025647017919248,0.6227117454109008,0.254238086841395,0.5887301287486983,0.31045699716773495,0.2568488721093698,False,False,False,0.21594507657823975,0.1250967538188277,0.05241119444692241,0.018050073615731715,0.2321434340219237,0.036135765610274095,0.21405774202738131,0.12167824942099276,0.09777401954612128,False,False,False,2.9668228033958108e-08
CCNL2,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.2005350804544935,0.11297186053946501,-0.029704618406343974,0.430774779315331,0.00909525020570992,0.39197491070327706,0.2969003395954059,0.2535894510884916,False,False,True,0.006222801479207899,-0.11153990681157369,0.06342044006679932,-0.2407109726941635,0.017631159071016117,-0.2189594027776724,-0.004120410845474987,0.129537753421669,0.10543397133514652,False,False,False,3.743113959483936e-07,-0.021764749562622133,0.059857235695347476,-0.14381650865989165,0.10028700953464738,-0.12323620830286923,0.07970670917762497,0.13932607700550345,0.1197252516383474,False,False,True,2.4375213168074366e-09,0.06746667506475865,0.06579284131280587,-0.06685745988819108,0.20179081001770838,-0.04417393929164723,0.17910728942116452,0.12739581210682996,0.11569900571417832,False,False,True,1.3667166763383206e-07,0.3423018350532803,0.09340120325636261,0.1515355523711783,0.5330681177353823,0.18376579272040228,0.5008378773861584,0.3086166115389338,0.2551886151390348,False,False,False,0.05086290786053109
