gene,quadrant,reason,delta,equiv_key,change_key,NK_log2FC,NK_SE,NK_CI95_lo,NK_CI95_hi,NK_CI90_lo,NK_CI90_hi,NK_null_change,NK_null_equiv,NK_saturated,NK_changed,NK_equivalent,NK_TOST_p,CD8T_log2FC,CD8T_SE,CD8T_CI95_lo,CD8T_CI95_hi,CD8T_CI90_lo,CD8T_CI90_hi,CD8T_null_change,CD8T_null_equiv,CD8T_saturated,CD8T_changed,CD8T_equivalent,CD8T_TOST_p,CD4T_log2FC,CD4T_SE,CD4T_CI95_lo,CD4T_CI95_hi,CD4T_CI90_lo,CD4T_CI90_hi,CD4T_null_change,CD4T_null_equiv,CD4T_saturated,CD4T_changed,CD4T_equivalent,CD4T_TOST_p,B_log2FC,B_SE,B_CI95_lo,B_CI95_hi,B_CI90_lo,B_CI90_hi,B_null_change,B_null_equiv,B_saturated,B_changed,B_equivalent,B_TOST_p,Myeloid_log2FC,Myeloid_SE,Myeloid_CI95_lo,Myeloid_CI95_hi,Myeloid_CI90_lo,Myeloid_CI90_hi,Myeloid_null_change,Myeloid_null_equiv,Myeloid_saturated,Myeloid_changed,Myeloid_equivalent,Myeloid_TOST_p
FO538757.2,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.03873582003047651,0.09930527764499372,-0.2403467465104905,0.16287510644953748,-0.20652592355983085,0.12905428349887782,0.19846994282018957,0.1674760048359279,False,False,True,2.339760271835501e-05,-0.2103182829340216,0.06197630062664965,-0.33623321255295807,-0.08440335331508514,-0.3150926972643798,-0.10554386860366344,0.16689159387819072,0.14714817684088108,False,False,False,2.2288591192799208e-05,-0.1631922991399731,0.06174653050590376,-0.2888214680558064,-0.03756313022413982,-0.2676927796929771,-0.058691818586969105,0.18654332804709892,0.1329938001467244,False,False,False,2.417370967278755e-06,-0.42803603786467254,0.08713959616841102,-0.6054784996856695,-0.2505935760436756,-0.5756060053578402,-0.2804660703715048,0.28848005586123315,0.24277648954203435,False,False,False,0.20747890927325915,0.06283226197826337,0.07884642853719175,-0.09782625731996096,0.2234907812764877,-0.07075868573001502,0.19642320968654176,0.1689374687740315,0.1453090933843641,False,False,True,2.091953857577249e-06
NOC2L,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.028661460899955412,0.1464462500990769,-0.2686557095685488,0.3259786313684596,-0.2187798840953535,0.2761028058952643,0.2924286705377769,0.2621857125662261,False,False,True,0.0013901292606045474,-0.03685702030951474,0.0652341222692876,-0.16939074418845287,0.0956767035694234,-0.14713896495628198,0.07342492433725252,0.15292374010252144,0.12727943400135142,False,False,True,1.5994193114369564e-08,0.0020811418645970306,0.056289547370954485,-0.1124452776268642,0.11660756135605825,-0.09318388278020313,0.09734616650939719,0.1287739652106433,0.11190039731259,False,False,True,1.604718898037341e-10,0.25478208597496305,0.08311453195130641,0.08553586713735459,0.4240283048125715,0.11402852137776559,0.3955356505721605,0.2103146505162213,0.17329710943035204,False,False,False,0.002934587121060724,0.117097775920983,0.07296594870920466,-0.03157860037526827,0.26577415221723427,-0.006529767131247435,0.24072531897321342,0.17919609239357,0.14790609658146975,False,False,True,4.947674980210282e-06
ISG15,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.5394593949199551,0.18792800444747954,0.1579254020979069,0.9209933877420033,0.22192884598948548,0.8569899438504247,0.4167122778997373,0.39399853643719873,False,True,False,0.5825451273346145,0.608607035935947,0.125558535945579,0.3535144593092266,0.8636996125626675,0.39634328455259143,0.8208707873193026,0.418689233316316,0.38899361176255914,False,True,False,0.8034704692620219,0.47342315166365595,0.11551378906208527,0.23839939892339268,0.7084469044039192,0.2779263947028404,0.6689199086244715,0.379201799989116,0.31789402089377616,False,False,False,0.40972756074289773,0.7567748384228729,0.18094201351422834,0.38832240420730313,1.1252272726384427,0.45035148754070986,1.063198189305036,0.5869766020184172,0.5078992490019965,False,True,False,0.9172691711240931,0.2682335720519569,0.18717597558583068,-0.11315865640688194,0.6496258005107958,-0.048902110954127165,0.5853692550580409,0.4866041497907214,0.3694407309311318,False,False,False,0.11235757003457268
TNFRSF18,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.441601036858832,0.15074323279802382,0.13556007362172712,0.747642000095937,0.18689934086286814,0.6963027328547959,0.40784043158289013,0.3562620611862907,False,False,False,0.35040217419225106,1.1777716254707558,0.15973730403964548,0.8532393253446984,1.5023039255968131,0.9077267485058405,1.447816502435671,0.7352517139419925,0.5739236031792326,False,True,False,0.9999206869166595,1.232647828221502,0.13090043660745027,0.9663184826376016,1.4989771738054025,1.011110546401778,1.4541851100412262,0.6765605834263226,0.5938519946901872,False,True,False,0.9999984119693066,0.26233337646390315,0.20978272945071585,-0.16484744141963648,0.6895141943474428,-0.09293141620095657,0.6175981691287629,0.6551932585409979,0.5211993640986625,False,False,False,0.1328000140968488,1.4265042573700433,0.20927467541738176,1.000083427626135,1.8529250871139515,1.0719263425674341,1.7810821721726524,1.0252267083074516,0.8423267757236571,False,True,False,0.9999471963314306
TNFRSF4,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.6357656129775908,0.17514114324761348,0.28019167982621107,0.9913395461289706,0.3398402477334403,0.9316909782217413,0.42544757243366293,0.3636396044878016,False,True,False,0.7782760315868273,1.5105944019244937,0.1665555769541569,1.1722096719910295,1.8489791318579578,1.229022851954909,1.7921659518940785,0.9867945013444169,0.7810820214473538,False,True,False,0.9999996586222749,1.5640761451856824,0.12063088281089887,1.318641180193317,1.8095111101780477,1.3599191647045403,1.7682331256668244,0.7557634518726887,0.6616181072901328,False,True,False,0.999999999828633,0.29624647751176214,0.19085813463403964,-0.09239816576355475,0.684891120787079,-0.02696971767599954,0.6194626726995238,0.4375047196198263,0.3962230218177684,False,False,False,0.14682097047914708,0.662493812712236,0.21649216890086923,0.22136652336559864,1.1036211020588733,0.2956871665336381,1.0293004588908339,0.6642471255334407,0.5777143842353726,False,False,False,0.7707809049793304
SDF4,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.09969226110210677,0.09119200000577833,-0.28483150087600884,0.08544697867179532,-0.2537738515762642,0.05438932937205068,0.1958594535394787,0.16148448829268333,False,False,True,4.998163693169503e-05,0.08752637819571515,0.05420854151756514,-0.022607086062627374,0.19765984245405768,-0.004116203432713808,0.1791689598241441,0.10866569561596685,0.08736886357212255,False,False,False,3.6512778727878787e-09,0.05568139554995841,0.04639952715182028,-0.038722840387046736,0.15008563148696355,-0.022845654392285253,0.13420844549220207,0.09163332912957624,0.08275802916904235,False,False,True,2.3936486084970588e-11,0.42301445918731756,0.0980630581191312,0.2233285389918093,0.6227003793828259,0.25694572654190795,0.5890831918327272,0.31733932363171696,0.24808792533800494,False,False,False,0.2190730009871437,0.09447858257993735,0.05401848434449157,-0.015590191244443025,0.20454735640431773,0.0029540753672679387,0.18600308979260677,0.11488776317411283,0.08930678502594418,False,False,False,7.972461403104103e-09
UBE2J2,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.1698648378456228,0.09689571251398,-0.3665838323961549,0.02685415670490926,-0.3335836453433719,-0.006146030347873671,0.26018191121808515,0.17546854509605114,False,False,True,0.0008334535779719537,-0.05491878951004838,0.06897177879716866,-0.1950461702205389,0.08520859120044214,-0.17151945227514726,0.0616818732550505,0.13227937449920035,0.11867378165933015,False,False,True,1.0791808541102796e-07,-0.11249687202985308,0.043882176161269965,-0.20177931877123617,-0.023214425288469995,-0.18676353056098843,-0.03823021349871772,0.09408829536664544,0.09145091287736501,False,False,False,1.670493651843157e-10,0.16730629590904386,0.07857944570412992,0.007294878512496744,0.327317713305591,0.03423285102207699,0.3003797407960107,0.20114881231179146,0.1502000497372522,False,False,False,8.928595693323474e-05,0.03425512902807805,0.05641061463896122,-0.08068788093112786,0.14919813898728396,-0.06132240834725934,0.12983266640341545,0.12826259527848527,0.1022248451925725,False,False,True,1.0515829435791394e-09
CPSF3L,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.07345045006871213,0.13432266621784356,-0.346154155507779,0.1992532553703547,-0.3004073108269287,0.15350641068950444,0.2577901091335181,0.22275182435928403,False,False,True,0.001559300427120462,0.04588917053033321,0.057619394168127384,-0.0711739953574001,0.16295233641806653,-0.05151964892152822,0.14329798998219465,0.11197555622421485,0.09138301376288163,False,False,True,1.6768117945345551e-09,-0.019715561371776914,0.058792441094885746,-0.13933435537960187,0.09990323263604803,-0.11921650979692464,0.07978538705337082,0.15064725051185032,0.12989936493953128,False,False,True,9.943068189317959e-10,0.013125090840579685,0.06949735913468352,-0.12839246302876667,0.15464264470992606,-0.10456793826808694,0.1308181199492463,0.1610727253807466,0.1360926347805244,False,False,True,2.9301078815006354e-08,0.11034622302797009,0.049840355046872085,0.008790860385878688,0.2119015856700615,0.025900796794262562,0.19479164926167764,0.11796457833636598,0.09783008468982937,False,False,False,3.411304264950802e-09
AURKAIP1,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.032764937715958266,0.10940834976632906,-0.18935738331408652,0.25488725874600304,-0.15209571389910345,0.21762558933101997,0.18611546635076806,0.14899375152319028,False,False,True,7.103005030493406e-05,0.07606479616194267,0.05271914172230366,-0.0310427102948113,0.18317230261869666,-0.013059871527215508,0.16518946385110084,0.1309594069317092,0.0973245733182447,False,False,True,1.0649305421718598e-09,0.05893194369098888,0.04783167895250755,-0.03838614083001812,0.15625002821199588,-0.022018895088788903,0.13988278247076666,0.11064130743170429,0.10190072487181466,False,False,True,5.978980700795468e-11,0.4559274459424093,0.0898168175953704,0.2730333549915105,0.6388215368933081,0.3038236328001883,0.6080312590846303,0.28025234000901944,0.2715606517283788,False,False,False,0.3134824318914712,0.10811450840015857,0.04842105484658281,0.009451130504219502,0.20677788629609764,0.026073828486060893,0.19015518831425626,0.10606688082884864,0.09060591193479879,False,False,False,1.624663433438559e-09
CCNL2,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.16825390041246988,0.10794191801842952,-0.050891250921009074,0.3873990517459488,-0.014129010435596473,0.35063681126053625,0.23683919162224037,0.21179443708129467,False,False,True,0.002043841607050784,-0.09028855860911021,0.07328241594893493,-0.23917369943256933,0.058596582214348894,-0.2141765953929931,0.033599478174772685,0.15870097603460226,0.12514823898284702,False,False,True,1.4294645724215624e-06,-0.04525198889785275,0.050536650558606566,-0.14807359454030405,0.05756961674459856,-0.13078075020062235,0.040276772404916845,0.11840408081657111,0.10238928100226818,False,False,True,1.0717761425094692e-10,-0.010798097016372746,0.06630491011959673,-0.14581486321417408,0.1242186691814286,-0.1230847481052301,0.10148855407248461,0.14074004157782222,0.12032523277898376,False,False,True,1.0286553529600448e-08,0.3480092220096454,0.0878390061637169,0.16902730832367915,0.5269911356956116,0.19918198535644552,0.4968364586628453,0.2749724780005443,0.220891640268494,False,False,False,0.04664371505386888
