gene,quadrant_a,NK_log2FC_a,quadrant_b,NK_log2FC_b,same_quadrant,same_sign,within_fold,replicated
FO538757.2,unclassified,-0.0405122673609461,unclassified,-0.14406246357045777,True,True,False,False
NOC2L,unclassified,0.0035400828017163,unclassified,-0.35941960988990596,True,False,False,False
ISG15,unclassified,0.5756409310324698,unclassified,0.3975796684416786,True,True,True,True
TNFRSF18,unclassified,0.4786627723576493,unclassified,1.594484074101553,True,True,False,False
TNFRSF4,unclassified,0.584018669544882,unclassified,1.1535819961047098,True,True,True,True
SDF4,unclassified,-0.0483988006096508,unclassified,-0.17571407453279264,True,True,False,False
UBE2J2,unclassified,-0.1306815707271991,unclassified,0.06657291056219836,True,False,True,False
CPSF3L,unclassified,-0.0405141571230773,unclassified,0.12116278921448483,True,False,False,False
AURKAIP1,unclassified,0.0713699221256235,unclassified,-0.14333100223288228,True,False,False,False
CCNL2,unclassified,0.2005350804544935,unclassified,0.0985180144384191,True,True,False,False
MRPL20,unclassified,0.050037025640586,unclassified,0.10996429303964668,True,True,False,False
SSU72,unclassified,0.0313528263390622,unclassified,0.18130883955689722,True,True,False,False
MIB2,unclassified,-0.3944104827661143,unclassified,-0.6232136308662278,True,True,True,True
CDK11B,unclassified,-0.1537526616287976,unclassified,-0.2550166108050309,True,True,True,True
SLC35E2B,unclassified,-0.3770397473058743,unclassified,-0.27589937639751977,True,True,True,True
CDK11A,unclassified,-0.2644098969869759,unclassified,-0.18164972254682504,True,True,True,True
GNB1,unclassified,0.0377182899513855,unclassified,-0.22308856899726254,True,False,False,False
FAAP20,unclassified,-0.05889478758242,unclassified,0.1190622106495598,True,False,False,False
RER1,unclassified,-0.0408995970938064,unclassified,-0.059673537142328655,True,True,True,True
TNFRSF14,unclassified,-0.191682643288187,unclassified,-0.5499300891619874,True,True,False,False
LRRC47,unclassified,-0.0398840363727565,unclassified,-0.30072609074102497,True,True,False,False
C1orf174,unclassified,-0.301881480034932,unclassified,-0.5779795773234981,True,True,True,True
KCNAB2,unclassified,-0.2055775767836069,unclassified,-0.6018970869781518,True,True,False,False
RPL22,unclassified,0.1465020538006063,unclassified,-0.0102969315984267,True,False,False,False
CAMTA1,unclassified,0.3481778941061194,unclassified,-0.12157147582497141,True,False,False,False
VAMP3,unclassified,-0.2841739789579595,unclassified,-0.1560240791572035,True,True,True,True
PARK7,unclassified,0.0650798812439649,unclassified,0.08875300262713609,True,True,True,True
ENO1,unclassified,0.259644400517015,unclassified,0.35887508413386554,True,True,True,True
CLSTN1,unclassified,0.0649217333291679,unclassified,-0.14302420611158584,True,False,False,False
CTNNBIP1,unclassified,-0.0095646370388172,unclassified,0.12746195324361403,True,False,False,False
LZIC,unclassified,0.00062449963191,unclassified,0.11513302651205738,True,True,False,False
PGD,unclassified,0.2175587613299072,unclassified,-0.002085983857480422,True,False,False,False
DFFA,unclassified,-0.0766491856610124,unclassified,-0.09318114211660079,True,True,True,True
TARDBP,unclassified,0.0864213270734509,unclassified,-0.2818431886381092,True,False,False,False
FBXO44,unclassified,-0.352097037587488,unclassified,0.3594172654067404,True,False,True,False
FBXO6,unclassified,-0.4371622568645928,unclassified,-0.12185642869169692,True,True,False,False
MAD2L2,unclassified,-0.1738697376245687,unclassified,-0.1745809427785631,True,True,True,True
AGTRAP,unclassified,-0.6001502653861718,unclassified,0.04223350830675598,True,False,False,False
MIIP,unclassified,0.1112993051763914,unclassified,-0.7304789501859266,True,False,False,False
TNFRSF1B,unclassified,-0.2934088738522342,unclassified,-0.25024075274674024,True,True,True,True
DHRS3,unclassified,-0.179324058459927,unclassified,-0.08542204042020729,True,True,False,False
PRDM2,unclassified,0.0481196052864977,unclassified,0.2577399145581736,True,True,False,False
EFHD2,unclassified,-0.6574699374128595,unclassified,-0.24599128034404166,True,True,False,False
SPEN,unclassified,-0.0415277289175698,unclassified,-0.35001254714465674,True,True,False,False
SZRD1,unclassified,-0.4407131080534689,unclassified,-0.24209886782467904,True,True,True,True
NECAP2,unclassified,-0.0385448435212312,unclassified,-0.08316429122676208,True,True,False,False
SDHB,unclassified,0.0166685896645294,unclassified,-0.1613285255976398,True,False,False,False
UBR4,unclassified,-0.0334534835012897,unclassified,-0.5783147719824907,True,True,False,False
AKR7A2,unclassified,0.020219562637361,unclassified,-0.022518772301139973,True,False,True,False
CAPZB,unclassified,-0.2526016200566177,unclassified,-0.08579498892002599,True,True,False,False
MINOS1,unclassified,0.0378083566900116,unclassified,0.000763782488338296,True,True,False,False
DDOST,unclassified,-0.0834709041970366,unclassified,0.1718380252888255,True,False,False,False
HP1BP3,unclassified,-0.0738436856218306,unclassified,-0.207066991468653,True,True,False,False
USP48,unclassified,0.4626546415569211,unclassified,-0.036218028896920024,True,False,False,False
CDC42,unclassified,-0.3003988493466096,unclassified,-0.1690142035398502,True,True,True,True
C1QA,unclassified,-0.1670126321749344,unclassified,-1.3082890786454209,True,True,False,False
C1QC,unclassified,0.6227784618477336,unclassified,0.13228143763125969,True,True,False,False
C1QB,unclassified,-0.0186336922787177,unclassified,-0.9932137216684249,True,True,False,False
LUZP1,unclassified,-0.1092594769365422,unclassified,0.4364334540139309,True,False,False,False
HNRNPR,unclassified,-0.0089414565228084,unclassified,-0.026371196752153058,True,True,False,False
RPL11,unclassified,0.1121783854736849,unclassified,0.047405491189770665,True,True,False,False
PITHD1,unclassified,-0.059773643549587,unclassified,-0.2678567400386986,True,True,False,False
LYPLA2,unclassified,-0.0027968997129911,unclassified,-0.11193127868049348,True,True,False,False
HMGCL,unclassified,-0.0621775016342804,unclassified,-0.32742144497107,True,True,False,False
PNRC2,unclassified,0.0832849812352253,unclassified,0.005245055457020777,True,True,False,False
SRSF10,unclassified,0.0331500986694151,unclassified,0.011627344993412904,True,True,False,False
SRRM1,unclassified,-0.1049298037962061,unclassified,-0.15937278528311546,True,True,True,True
RUNX3,unclassified,-0.4588968216973446,unclassified,0.018075004923239813,True,False,False,False
SYF2,unclassified,-0.2194377885924007,unclassified,-0.3065327239594219,True,True,True,True
RSRP1,unclassified,0.1958162545044225,unclassified,-0.2009679488399629,True,False,True,False
TMEM50A,unclassified,-0.2390316491542767,unclassified,0.03230176474630515,True,False,False,False
STMN1,unclassified,0.4361128303908614,unclassified,-0.3223285297191433,True,False,True,False
ZNF593,unclassified,0.488980303452789,unclassified,0.34149462083518084,True,True,True,True
SH3BGRL3,unclassified,-0.3427408745502225,unclassified,-0.14516115084469855,True,True,False,False
CD52,unclassified,-0.0694684369512033,unclassified,0.2940650346569634,True,False,False,False
HMGN2,unclassified,0.1248785014839695,unclassified,-0.15075907555841914,True,False,True,False
RPS6KA1,unclassified,-0.5614831333964211,unclassified,-0.3542699612069038,True,True,True,True
ARID1A,unclassified,0.0438792445257465,unclassified,0.42787753877167123,True,True,False,False
NUDC,unclassified,0.1005513262919749,unclassified,0.1332518166610737,True,True,True,True
SYTL1,unclassified,-0.4850224422860432,unclassified,-0.5512804004506286,True,True,True,True
WASF2,unclassified,-0.1739472548235996,unclassified,-0.4185259757593875,True,True,False,False
FGR,Q3,-0.7229075932844551,unclassified,-0.6891310036690077,False,True,True,False
IFI6,unclassified,0.6643793660545866,unclassified,0.46159782765743707,True,True,True,True
STX12,Q4,-0.2158671202490455,unclassified,0.22589019126031468,False,False,True,False
PPP1R8,unclassified,-0.2781449047092616,unclassified,0.2889857346720889,True,False,True,False
THEMIS2,unclassified,-0.3933187174190317,unclassified,-0.48680546977035305,True,True,True,True
RPA2,unclassified,-0.3814049648104052,unclassified,0.010501034339692256,True,False,False,False
DNAJC8,unclassified,-0.1589093533366146,unclassified,-0.3021839898825671,True,True,True,True
ATPIF1,unclassified,0.0515747498487084,unclassified,-0.052253505791734024,True,False,True,False
PHACTR4,unclassified,0.1084109101276349,unclassified,-0.5900907994483784,True,False,False,False
TRNAU1AP,unclassified,0.0227901610734696,unclassified,-0.11715262653434519,True,False,False,False
TAF12,unclassified,-0.1053097861752537,unclassified,-0.0038989846357451244,True,True,False,False
YTHDF2,unclassified,-0.0208079191148425,unclassified,-0.05071162419796692,True,True,False,False
EPB41,unclassified,-0.2820733200430335,unclassified,-0.22164932765575185,True,True,True,True
SRSF4,unclassified,-0.0715141644292997,unclassified,-0.1451528100549723,True,True,False,False
LAPTM5,unclassified,-0.2043986372044294,unclassified,-0.1285763781560763,True,True,True,True
PUM1,unclassified,0.1764210833345277,unclassified,-0.43509441267319704,True,False,False,False
SNRNP40,unclassified,-0.2412130962344907,unclassified,0.03034909098601877,True,False,False,False
ZCCHC17,unclassified,-0.2761181514012409,unclassified,-0.5885135642126136,True,True,False,False
PEF1,unclassified,0.0110475645272335,unclassified,0.10663204161286809,True,True,False,False
PTP4A2,unclassified,-0.0417034670146598,unclassified,-0.30323901405063913,True,True,False,False
KHDRBS1,unclassified,0.0129622899631781,unclassified,0.02441739637373582,True,True,True,True
KPNA6,unclassified,0.1096460454190629,unclassified,-0.1959136699393257,True,False,True,False
EIF3I,unclassified,0.0673022560522282,unclassified,-0.0025998133048308275,True,False,False,False
HDAC1,unclassified,-0.1330661783191845,unclassified,-0.04564995623290863,True,True,False,False
MARCKSL1,unclassified,0.6126015166366466,unclassified,0.001863801159722808,True,True,False,False
BSDC1,unclassified,0.2382836647690178,unclassified,-0.44163933793304644,True,False,True,False
ZBTB8OS,unclassified,-0.0156030549420517,unclassified,-0.15512044171598813,True,True,False,False
RBBP4,unclassified,-0.1325947906270986,unclassified,-0.03434622697443028,True,True,False,False
YARS,unclassified,-0.1253495319089205,unclassified,0.1803784194791609,True,False,True,False
S100PBP,unclassified,0.0085456072350583,unclassified,0.007723319580573951,True,True,True,True
AK2,unclassified,0.6063706501263246,unclassified,0.3221141290299925,True,True,True,True
SMIM12,unclassified,-0.2594393285908876,unclassified,-0.055004043470193255,True,True,False,False
SFPQ,unclassified,0.2370447552788379,unclassified,0.25427245743736715,True,True,True,True
PSMB2,unclassified,0.065254910389007,unclassified,0.024871051868065472,True,True,False,False
AGO3,unclassified,0.1028612827984098,unclassified,-0.10535563726180934,True,False,True,False
TRAPPC3,unclassified,0.0708599375159369,unclassified,0.1601628078000727,True,True,False,False
MAP7D1,unclassified,0.0539424629937108,unclassified,-0.19770150881234783,True,False,False,False
