dataset	donor	compartment	library	lineage	n_cells	rho	total_umi
GSE233304	P1	BM	S1	NK	174	0.0041389216631605	1165288.0
GSE233304	P1	BM	S1	T	1366	0.0029357813515925	10678497.0
GSE233304	P1	BM	S1	B	218	0.0556945025003845	1854944.0
GSE233304	P1	PB	S3	NK	146	0.0008459422281131	1154117.0
GSE233304	P1	PB	S3	T	1274	0.0026375090200484	13696144.0
GSE233304	P1	PB	S3	Myeloid	1120	0.0026352216962932	13708032.0
GSE233304	P1	PB	S3	B	266	0.0079987849514968	2889654.0
GSE233304	P2	BM	S4	T	761	0.0010828863999967	7534783.0
GSE233304	P2	BM	S4	B	55	0.0590979035495731	538085.0
GSE233304	P2	PB	S6	T	1118	0.0019335912040402	10898965.0
GSE233304	P2	PB	S6	Myeloid	451	0.00288136547648	8626702.0
GSE233304	P2	PB	S6	B	351	0.0072189007250448	2897515.0
GSE233304	P7	BM	S7	T	493	0.1466971015542242	3606423.0
GSE233304	P8	BM	S8	T	814	0.0024493561901516	4087947.0
GSE233304	P8	BM	S8	Myeloid	301	0.0023384996352945	3840320.0
GSE233304	P8	BM	S8	B	130	0.0	646920.0
GSE233304	P8	BM	S8	GranProg	98	0.0014621449668716	988378.0
GSE233304	P9	BM	S9	T	1731	0.003063498519409	15792352.0
GSE233304	P9	BM	S9	B	124	0.02481755322418	1083276.0
GSE233304	P9	PB	S11	NK	41	0.0020708964525048	321876.0
GSE233304	P9	PB	S11	T	647	0.0016825665503077	7263002.0
GSE233304	P9	PB	S11	Myeloid	1102	0.0020827207196829	13868773.0
GSE233304	c4	BM	S12	T	59	0.0	608253.0
GSE233304	c4	PB	S13	NK	50	0.0	398991.0
GSE233304	c4	PB	S13	T	1246	0.0011568484698038	12127260.0
GSE233304	c4	PB	S13	Myeloid	141	0.0493854768529623	2329452.0
GSE233304	c4	PB	S13	B	65	0.2387884592124334	674967.0
GSE233304	c5	BM	S14	NK	33	0.0027339232356095	301986.0
GSE233304	c5	BM	S14	T	771	0.0016431614775022	7927545.0
GSE233304	c5	BM	S14	Myeloid	244	0.0020461246083074	4124643.0
GSE233304	c5	BM	S14	B	89	0.0	977538.0
GSE233304	c5	PB	S15	T	1432	0.0005533340701074	13630960.0
GSE233304	c5	PB	S15	B	101	0.0	963814.0
GSE233304	c8	BM	S16	T	4770	0.0047718569378113	39820377.0
GSE233304	c8	BM	S16	Myeloid	346	0.0068782277564623	4585552.0
GSE233304	c8	BM	S16	B	373	0.1052136187036304	3418800.0
GSE233304	c8	BM	S16	Erythroid	85	0.0071041342882345	1787520.0
GSE233304	c8	BM	S16	HSPC	124	0.0921892567104855	944630.0
GSE233304	c8	PB	S17	NK	320	0.0037476797317108	2436336.0
GSE233304	c8	PB	S17	T	2659	0.0035469177113619	28463707.0
GSE233304	c8	PB	S17	Myeloid	1196	0.003033461334391	20295752.0
GSE233304	c8	PB	S17	B	323	0.0247223351232869	3411802.0
GSE233304	c9	BM	S18	NK	54	0.0297595671152433	508844.0
GSE233304	c9	BM	S18	T	2431	0.00915296585088	21930202.0
GSE233304	c9	BM	S18	Myeloid	1178	0.0054830782036848	16415170.0
GSE233304	c9	BM	S18	B	327	0.0216994966028559	2896664.0
GSE233304	c9	BM	S18	HSPC	63	0.0137287186874329	1485011.0
GSE233304	c9	BM	S18	GranProg	137	0.0041051882102717	2906281.0
GSE233304	c9	PB	S19	NK	104	0.0079720531722156	937582.0
GSE233304	c9	PB	S19	T	3364	0.009512869273146	33331078.0
GSE233304	c9	PB	S19	Myeloid	1111	0.0068199310698227	18775731.0
GSE233304	c9	PB	S19	B	270	0.0045651188059461	2981456.0
GSE233304	c10	BM	S20	T	1107	0.003473308534063	13994496.0
GSE233304	c10	BM	S20	Myeloid	232	0.0043474863476296	2523040.0
GSE233304	c10	PB	S21	NK	196	0.0091554234535996	1574027.0
GSE233304	c10	PB	S21	T	3064	0.007127514471722	31207072.0
GSE233304	c10	PB	S21	Myeloid	47	0.0402840468965861	69991.0
GSE233304	c10	PB	S21	B	277	0.0048358783338372	2728537.0
GSE233304	P4	BM	S22	NK	98	0.0040897133262992	367513.0
GSE233304	P4	BM	S22	T	863	0.0042992725396736	3670793.0
GSE233304	P4	BM	S22	Myeloid	187	0.0005165243400885	1454939.0
GSE233304	P4	BM	S22	B	62	0.0	222352.0
GSE233304	P4	BM	S22	HSPC	47	0.0010220153685443	735323.0
GSE233304	P4	BM	S22	GranProg	145	0.0069139175137248	1195650.0
GSE233304	P15	BM	S26	NK	100	0.0016877361907105	404905.0
GSE233304	P15	BM	S26	T	3690	0.0030385793927353	14843320.0
GSE233304	P15	BM	S26	Myeloid	76	0.0033754473722408	506135.0
GSE233304	P15	BM	S26	B	356	0.0420687948327974	1576483.0
GSE233304	P15	BM	S26	GranProg	47	0.0012325104648514	415842.0
GSE233304	P15	PB	S30	NK	285	0.0023689368768841	1127127.0
GSE233304	P15	PB	S30	T	1914	0.0030297470149594	8812923.0
GSE233304	P15	PB	S30	Myeloid	1961	0.0016506287102057	17793838.0
GSE233304	P15	PB	S30	B	286	0.0	1331396.0
GSE233304	P16	BM	S32	NK	103	0.0005162616605934	499475.0
GSE233304	P16	BM	S32	T	1885	0.0028612695220207	10273767.0
GSE233304	P16	BM	S32	Myeloid	710	0.0031256598459429	4042388.0
GSE233304	P16	BM	S32	B	482	0.0700958492275166	2499342.0
GSE233304	P16	BM	S32	Erythroid	50	0.0054906075088671	469638.0
GSE233304	P16	BM	S32	HSPC	53	0.0018656729782522	552851.0
GSE233304	P16	PB	S36	NK	70	0.0	284456.0
GSE233304	P16	PB	S36	T	2280	0.0020633943466083	11883144.0
GSE233304	P16	PB	S36	Myeloid	1521	0.0022523308346003	13252921.0
GSE233304	P16	PB	S36	B	379	0.0	1725326.0
GSE233304	P21	BM	S38	T	139	0.0265621228006278	927470.0
GSE233304	P21	BM	S38	Erythroid	51	0.0440993995816831	710993.0
GSE233304	P21	BMMC	S42	NK	385	0.0053136418915296	2126406.0
GSE233304	P21	BMMC	S42	T	6546	0.0059938636870618	39377392.0
GSE233304	P21	BMMC	S42	Myeloid	160	0.1659475921578579	189132.0
GSE233304	P21	BMMC	S42	B	762	0.0762846068337028	5603067.0
GSE233304	P21	BMMC	S42	Erythroid	49	0.0012275158555597	2045497.0
GSE233304	P21	BMMC	S42	HSPC	291	0.0029786780833473	3793280.0
GSE233304	P21	BMMC	S42	GranProg	97	0.0055151067867578	1593456.0
GSE233304	P22	BM	S44	T	5085	0.007869818537704	33235489.0
GSE233304	P22	BM	S44	B	115	0.0932567203811495	911581.0
GSE233304	P22	BM	S44	Erythroid	109	0.0147381126874683	1577511.0
GSE233304	P22	BMMC	S48	NK	703	0.011045903539969	3711446.0
GSE233304	P22	BMMC	S48	T	5986	0.0035989267162184	37021563.0
GSE233304	P22	BMMC	S48	B	732	0.0879933013349975	5678386.0
GSE233304	P22	BMMC	S48	GranProg	156	0.0183371417714232	2235696.0
GSE233304	P24	BM	S50	NK	164	0.0065939595567891	652534.0
GSE233304	P24	BM	S50	T	3743	0.0045839166399628	15456758.0
GSE233304	P24	BM	S50	B	323	0.0932779148250969	1512954.0
GSE233304	P24	BM	S50	Erythroid	156	0.0030901888413486	1856535.0
GSE233304	P24	BMMC	S54	NK	1249	0.00291472126504	6319690.0
GSE233304	P24	BMMC	S54	T	4966	0.0043752939103415	32101507.0
GSE233304	P24	BMMC	S54	Myeloid	70	0.0038184105809125	1206008.0
GSE233304	P24	BMMC	S54	B	476	0.1277811382708512	2830078.0
GSE233304	P24	BMMC	S54	Erythroid	56	0.0010299830703481	2235490.0
GSE233304	P24	BMMC	S54	GranProg	31	0.0129166209689923	178260.0
