arm,lineage,median_SE,zero_truth_abs_log2FC
baseline,NK,0.12046288563296888,3.985296637361463
baseline,CD8T,0.07142291931605615,3.1853494815694874
baseline,CD4T,0.058531839818626696,2.925206840050434
baseline,B,0.08846830867232444,0.861963361186082
baseline,Myeloid,0.07079003322450692,3.422045413734158
rho_per_sample,NK,0.19871476586453868,4.21584020592724
rho_per_sample,CD8T,0.09646178691011592,4.200847184194592
rho_per_sample,CD4T,0.09099390035877096,1.087553595744782
rho_per_sample,B,0.2862387561990467,1.3142976451447985
rho_per_sample,Myeloid,0.0753117875052589,3.088771486505159
rho_pooled,NK,0.1926579939579706,5.1453939062367535
rho_pooled,CD8T,0.09532558682589261,4.385314329529878
rho_pooled,CD4T,0.09103254490266978,1.107887840103777
rho_pooled,B,0.2699064168967065,1.496796146553517
rho_pooled,Myeloid,0.07521573572873491,3.5719831971942884
rho_wide_markers,NK,0.2375746352890954,5.611848224848538
rho_wide_markers,CD8T,0.13257553937917824,4.233854271654931
rho_wide_markers,CD4T,0.07933498712150705,1.5562598062728494
rho_wide_markers,B,0.5161604208011635,0.7872199125363157
rho_wide_markers,Myeloid,0.23391927043722135,1.779649595155866
