batch,condition,lineage,rho_per_sample,rho_pooled,rho_wide
2,Tumor,NK,0.026904487956657903,0.026904487956657903,0.05089908994144465
2,Tumor,CD8T,0.009479544319977768,0.009479544319977768,0.011686812626740197
2,Tumor,CD4T,0.010486578975380178,0.010486578975380178,0.015139876398333309
2,Tumor,B,0.5699291039042765,0.5699291039042765,0.05987579623600376
2,Tumor,Myeloid,0.017923166420579128,0.017923166420579128,1.0
1,Normal,NK,0.010887545965959047,0.010887545965959047,0.1556357573962379
1,Normal,CD8T,0.011197357914003588,0.011197357914003588,0.03669586562535525
1,Normal,CD4T,0.010461048898504547,0.010461048898504547,0.01543609922658079
1,Normal,B,0.8386506882765055,0.8386506882765055,0.6084998747818474
1,Normal,Myeloid,0.011191133584710107,0.011191133584710107,0.6028808277892781
3,Normal,NK,0.00743795940750827,0.00743795940750827,0.05231429085758097
3,Normal,CD8T,0.013164685715501436,0.013164685715501436,0.13313680627069743
3,Normal,CD4T,0.0058729253113558024,0.0058729253113558024,0.02799207717665606
3,Normal,B,1.0,1.0,1.0
3,Normal,Myeloid,0.011460717057498505,0.011460717057498505,0.05475998105747618
6,Tumor,NK,0.16919563113004665,0.16919563113004665,0.1457727439200688
6,Tumor,CD8T,0.03613305873823305,0.03613305873823305,0.2596644467922124
6,Tumor,CD4T,0.16511462315345773,0.16511462315345773,0.10571102503580827
6,Tumor,B,0.42581549425790133,0.42581549425790133,0.22592498184564294
6,Tumor,Myeloid,0.15977871440606448,0.15977871440606448,0.1304493719620264
5,Normal,NK,0.019008343055118584,0.019008343055118584,0.2952545917969407
5,Normal,CD8T,0.02952846955476518,0.02952846955476518,0.3827045067295225
5,Normal,CD4T,0.017214110263524703,0.017214110263524703,0.45106146066453845
5,Normal,B,0.9941738613374145,0.9941738613374145,1.0
5,Normal,Myeloid,0.01106141962501681,0.01106141962501681,0.04741266389903526
4,Tumor,NK,0.0213228291683123,0.0213228291683123,0.03658318992256677
4,Tumor,CD8T,0.14050964018281487,0.14050964018281487,0.13809458004673184
4,Tumor,CD4T,0.018558934008825263,0.018558934008825263,0.03906110175618651
4,Tumor,B,0.30241349174591303,0.30241349174591303,1.0
4,Tumor,Myeloid,0.06135493059269936,0.06135493059269936,0.04636933105560413
8,Tumor,NK,0.03585413449584609,0.03585413449584609,0.29349898512034955
8,Tumor,CD8T,0.04164126924459588,0.04164126924459588,0.08278420378447983
8,Tumor,CD4T,0.026437661732865044,0.026437661732865044,0.0737410855980028
8,Tumor,B,0.49005743473853636,0.49005743473853636,0.9991149110663412
8,Tumor,Myeloid,0.03654178013109287,0.03654178013109287,0.5981066969846484
9,Tumor,NK,0.055437662677203216,0.055437662677203216,0.368959115621452
9,Tumor,CD8T,0.054261573244112724,0.054261573244112724,0.06817546905644636
9,Tumor,CD4T,0.21020859762641386,0.21020859762641386,0.11499614453693607
9,Tumor,B,0.5097929813903023,0.5097929813903023,1.0
9,Tumor,Myeloid,0.12607499839863537,0.12607499839863537,0.2994944405440575
7,Normal,NK,0.8390129548333455,0.8390129548333455,1.0
7,Normal,CD8T,0.3788048569642957,0.3788048569642957,0.95563388277417
7,Normal,CD4T,0.0703288973546367,0.0703288973546367,0.621926658786329
7,Normal,B,0.5514437833182629,0.5514437833182629,1.0
7,Normal,Myeloid,0.04761091941313849,0.04761091941313849,0.1672552784328101
10,Normal,NK,0.07697742178039733,0.07697742178039733,0.1453398609757339
10,Normal,CD8T,0.036265266624342034,0.036265266624342034,0.12189499568687102
10,Normal,CD4T,0.04602060161551589,0.04602060161551589,0.11343021064111389
10,Normal,B,0.7250597260572071,0.7250597260572071,1.0
10,Normal,Myeloid,0.04295523909485994,0.04295523909485994,0.12405826542261317
11,Tumor,NK,0.8304834987769584,0.8304834987769584,0.8280883469885276
11,Tumor,CD8T,0.9620116559318117,0.9620116559318117,1.0
11,Tumor,CD4T,0.7239332083875984,0.7239332083875984,0.7150441688513491
11,Tumor,B,0.16693089795780494,0.16693089795780494,0.0915974414746839
11,Tumor,Myeloid,0.09640105970473216,0.09640105970473216,0.1345495519138919
14,Normal,NK,0.03301684289676492,0.03301684289676492,0.09176658381701776
14,Normal,CD8T,0.049611259948816155,0.049611259948816155,0.12829389777007028
14,Normal,CD4T,0.03913821774192028,0.03913821774192028,0.17067508060783976
14,Normal,B,0.20502664600393442,0.20502664600393442,1.0
14,Normal,Myeloid,0.04496314500984659,0.04496314500984659,0.133145168434967
15,Tumor,NK,0.12615733880742155,0.12615733880742155,0.20113438927006416
15,Tumor,CD8T,0.06838614158711659,0.06838614158711659,0.27587221220180314
15,Tumor,CD4T,0.0517799863760117,0.0517799863760117,0.06364658606530335
15,Tumor,B,0.21343778744251288,0.21343778744251288,0.9511910934308577
15,Tumor,Myeloid,0.06955534508219448,0.06955534508219448,0.13457267846908336
16,Normal,NK,0.04288952909837149,0.04288952909837149,0.3644252338473059
16,Normal,CD8T,0.03113336741294491,0.03113336741294491,0.22335241230478659
16,Normal,CD4T,0.9307202311126266,0.9307202311126266,0.27580728336933097
16,Normal,B,0.3723968186918464,0.3723968186918464,1.0
16,Normal,Myeloid,0.0789644388416978,0.0789644388416978,0.11848109624492746
17,Tumor,NK,0.49938442446439696,0.49938442446439696,0.5529936274852345
17,Tumor,CD8T,0.19414065799090607,0.19414065799090607,0.19962249386510078
17,Tumor,CD4T,0.1773676197394831,0.1773676197394831,0.20295309476956985
17,Tumor,B,0.12870626881961708,0.12870626881961708,0.10587287459151463
17,Tumor,Myeloid,0.26512545719781383,0.26512545719781383,0.2859681575493532
22,Normal,NK,0.04916223514056544,0.04916223514056544,0.27530851678716656
22,Normal,CD8T,0.039626480082500616,0.039626480082500616,0.22190828846200347
22,Normal,CD4T,0.022340110402800716,0.022340110402800716,0.2267521205884273
22,Normal,B,0.4209502962767005,0.4209502962767005,0.3336865960046485
22,Normal,Myeloid,0.23556178648367904,0.23556178648367904,0.32605368142913177
23,Tumor,NK,0.11374802168902383,0.11374802168902383,0.24532717265214285
23,Tumor,CD8T,0.009476535022174151,0.009476535022174151,0.03211781695702063
23,Tumor,CD4T,0.013569003600797198,0.013569003600797198,0.03511809952905624
23,Tumor,B,0.10141820375129562,0.10141820375129562,0.11298630136843758
23,Tumor,Myeloid,0.02246702648034186,0.02246702648034186,0.04954794772704211
18,Normal,NK,0.015559267841154684,0.015559267841154684,0.7660073645978407
18,Normal,CD8T,0.015824000873718845,0.015824000873718845,0.05239840990325737
18,Normal,CD4T,0.015421999759162443,0.015421999759162443,0.1462889212075055
18,Normal,B,0.5668939969413168,0.5668939969413168,1.0
18,Normal,Myeloid,0.0158818568506086,0.0158818568506086,0.06785953989822567
19,Tumor,NK,1.0,1.0,1.0
19,Tumor,CD8T,0.0538011176205153,0.0538011176205153,0.06841450859300593
19,Tumor,CD4T,0.33590910466581225,0.33590910466581225,0.24934549710379073
19,Tumor,B,0.2469539158090096,0.2469539158090096,0.09537223780576487
19,Tumor,Myeloid,0.07596565252086446,0.07596565252086446,0.5129820546408419
24,Normal,NK,0.195639812425246,0.195639812425246,0.3320114628815535
24,Normal,CD8T,0.0,0.0,0.19972771561470193
24,Normal,CD4T,0.00799764655379409,0.00799764655379409,0.3602866862662919
24,Normal,B,0.6377300096223842,0.6377300096223842,0.5421959923225337
24,Normal,Myeloid,0.0,0.0,0.36847364367631624
25,Tumor,NK,0.010101885804184182,0.010101885804184182,0.06148880914284143
25,Tumor,CD8T,0.013478830399280694,0.013478830399280694,0.04067718459782924
25,Tumor,CD4T,0.007542844424809883,0.007542844424809883,0.029201554879259347
25,Tumor,B,0.10966244884045634,0.10966244884045634,0.4339970152217276
25,Tumor,Myeloid,0.007584825837750757,0.007584825837750757,0.1597265285411838
26,Normal,NK,0.03077740692255411,0.03077740692255411,0.08216815939613119
26,Normal,CD8T,0.026762581494358798,0.026762581494358798,0.046680376642550835
26,Normal,CD4T,0.024340615731587252,0.024340615731587252,0.05784116851567978
26,Normal,B,0.22861331451293887,0.22861331451293887,1.0
26,Normal,Myeloid,0.032541939509839066,0.032541939509839066,1.0
27,Tumor,NK,0.12218521061836778,0.12218521061836778,0.13326043466246287
27,Tumor,CD8T,0.034472192194498534,0.034472192194498534,0.04900555229487357
27,Tumor,CD4T,0.031046061936308433,0.031046061936308433,0.04079604062497615
27,Tumor,B,0.1154117072505526,0.1154117072505526,0.08114392865032495
27,Tumor,Myeloid,0.1184487628833838,0.1184487628833838,0.22135088790910057
28,Normal,NK,0.173108706709717,0.173108706709717,0.4672603812240983
28,Normal,CD8T,0.03003722821349419,0.03003722821349419,0.03484364452182647
28,Normal,CD4T,0.08564407573699656,0.08564407573699656,0.06931096373321186
28,Normal,B,0.20818052569216014,0.20818052569216014,1.0
28,Normal,Myeloid,0.034962501054109064,0.034962501054109064,0.18550164376277492
29,Tumor,NK,0.4356702407949616,0.4356702407949616,0.7366332264689746
29,Tumor,CD8T,0.12710150596825665,0.12710150596825665,0.14324156166357813
29,Tumor,CD4T,0.09531399305748926,0.09531399305748926,0.07813553278100002
29,Tumor,B,0.1560657369949044,0.1560657369949044,0.4480968887277095
29,Tumor,Myeloid,0.06355282535789662,0.06355282535789662,0.19381890987502878
30,Normal,NK,0.004366429867860676,0.004366429867860676,0.521272624548076
30,Normal,CD8T,0.0042562504927875465,0.0042562504927875465,0.06253774808117482
30,Normal,CD4T,0.003707800604248131,0.003707800604248131,0.12552702127533627
30,Normal,B,0.24880580703827362,0.24880580703827362,1.0
30,Normal,Myeloid,0.07900867162180511,0.07900867162180511,0.07852593082448601
33,Tumor,NK,0.14871954870197945,0.14871954870197945,0.2330047804288472
33,Tumor,CD8T,0.03504089071369281,0.03504089071369281,0.03512236808418635
33,Tumor,CD4T,0.033164839261136045,0.033164839261136045,0.03228264330134951
33,Tumor,B,0.05562972863158477,0.05562972863158477,0.06209604817084555
33,Tumor,Myeloid,0.10060216748737602,0.10060216748737602,0.086947688932974
32,Normal,NK,0.035446545436613776,0.035446545436613776,0.04757424905474729
32,Normal,CD8T,0.03597336761699179,0.03597336761699179,0.044603509960510074
32,Normal,CD4T,0.02627657827812123,0.02627657827812123,0.0344263507510559
32,Normal,B,0.2675861482653017,0.2675861482653017,0.2791351150231126
32,Normal,Myeloid,0.030002847268742045,0.030002847268742045,0.04131269361439158
31,Tumor,NK,0.2923093338983006,0.2923093338983006,0.46837719914070125
