object,group,cancer_type,tissue,n_samples,n_patients,n_patient_ids_raw,n_nk,nk_per_sample_median,nk_per_sample_q1,nk_per_sample_q3,nk_per_sample_iqr,n_datasets
A_blood,healthy_donor,Healthy donor,Blood,73,70,70,19143,189.00,124.00,365.00,241.00,9
A_blood,patient,Breast Cancer(BRCA),Blood,57,23,23,26656,337.00,117.00,619.00,502.00,2
A_blood,patient,Melanoma(MELA),Blood,5,5,5,14501,3073.00,1910.00,3696.00,1786.00,1
A_blood,patient,Nasopharyngeal Carcinoma(NPC),Blood,10,10,10,9512,790.50,486.50,888.25,401.75,1
A_blood,patient,Head and Neck Squamous Cell Carcinoma(HNSCC),Blood,41,41,41,6078,124.00,66.00,207.00,141.00,2
A_blood,patient,Colorectal Cancer(CRC),Blood,12,12,12,3233,67.00,33.75,388.00,354.25,2
A_blood,patient,Pancreatic Cancer(PACA),Blood,16,15,15,2038,80.50,44.75,130.50,85.75,1
A_blood,patient,Renal Carcinoma(RC),Blood,7,7,7,1022,133.00,104.50,207.00,102.50,1
A_blood,patient,Lung Cancer(LC),Blood,8,6,6,893,77.00,43.00,188.75,145.75,1
A_blood,patient,Hepatocellular Carcinoma(HCC),Blood,5,4,4,768,60.00,22.00,283.00,261.00,1
A_blood,patient,Gastric Cancer(GC),Blood,2,2,2,613,306.50,270.25,342.75,72.50,1
A_blood,patient,Intrahepatic cholangiocarcinoma(ICC),Blood,1,1,1,447,447.00,447.00,447.00,0.00,1
