object,group,cancer_type,tissue,n_samples,n_patients,n_patient_ids_raw,n_nk,nk_per_sample_median,nk_per_sample_q1,nk_per_sample_q3,nk_per_sample_iqr,n_datasets
A_main,healthy_donor,Healthy donor,Blood,10,10,10,1436,139.50,68.75,154.50,85.75,2
A_main,patient,Breast Cancer(BRCA),Blood,57,23,23,26660,337.00,117.00,619.00,502.00,2
A_main,patient,Melanoma(MELA),Blood,5,5,5,14501,3073.00,1910.00,3696.00,1786.00,1
A_main,patient,Nasopharyngeal Carcinoma(NPC),Blood,10,10,10,9513,790.50,486.50,888.25,401.75,1
A_main,patient,Head and Neck Squamous Cell Carcinoma(HNSCC),Blood,41,41,41,6078,124.00,66.00,207.00,141.00,2
A_main,patient,Colorectal Cancer(CRC),Blood,12,12,12,3233,67.00,33.75,388.00,354.25,2
A_main,patient,Pancreatic Cancer(PACA),Blood,16,15,15,2038,80.50,44.75,130.50,85.75,1
A_main,patient,Renal Carcinoma(RC),Blood,7,7,7,1022,133.00,104.50,207.00,102.50,1
A_main,patient,Lung Cancer(LC),Blood,8,6,6,893,77.00,43.00,188.75,145.75,1
A_main,patient,Hepatocellular Carcinoma(HCC),Blood,5,4,4,768,60.00,22.00,283.00,261.00,1
A_main,patient,Gastric Cancer(GC),Blood,2,2,2,613,306.50,270.25,342.75,72.50,1
A_main,patient,Intrahepatic cholangiocarcinoma(ICC),Blood,1,1,1,447,447.00,447.00,447.00,0.00,1
A_main,patient,Lung Cancer(LC),Normal,56,43,43,11648,118.50,70.50,249.50,179.00,3
A_main,patient,Renal Carcinoma(RC),Normal,16,16,16,4564,244.00,145.00,406.00,261.00,4
A_main,patient,Esophageal Cancer(ESCA),Normal,17,17,17,1916,74.00,44.00,132.00,88.00,3
A_main,patient,Hepatocellular Carcinoma(HCC),Normal,5,5,5,1119,126.00,58.00,427.00,369.00,1
A_main,patient,Uterine Corpus Endometrial Carcinoma(UCEC),Normal,7,7,7,851,141.00,58.00,179.50,121.50,1
A_main,patient,Thyroid Carcinoma(THCA),Normal,13,13,13,814,44.00,30.00,105.00,75.00,2
A_main,patient,Intrahepatic cholangiocarcinoma(ICC),Normal,4,4,4,586,125.00,72.50,199.00,126.50,2
A_main,patient,Colorectal Cancer(CRC),Normal,58,47,47,388,5.50,3.00,9.00,6.00,4
A_main,patient,Breast Cancer(BRCA),Normal,7,6,6,373,43.00,30.00,71.50,41.50,3
A_main,patient,Pancreatic Cancer(PACA),Normal,3,3,3,217,67.00,64.00,78.00,14.00,2
A_main,patient,Gastric Cancer(GC),Normal,8,6,6,148,8.50,1.75,35.50,33.75,1
A_main,patient,Ovarian Cancer(OV),Normal,1,1,1,113,113.00,113.00,113.00,0.00,1
A_main,patient,Acute Myeloid Leukemia(AML),Normal,1,1,1,55,55.00,55.00,55.00,0.00,1
A_main,patient,Melanoma(MELA),Other tissue,11,9,9,5804,373.00,26.00,473.50,447.50,3
A_main,patient,Lung Cancer(LC),Other tissue,44,44,44,5631,63.00,23.75,179.25,155.50,1
A_main,patient,Breast Cancer(BRCA),Other tissue,26,15,15,4000,32.00,16.00,150.50,134.50,2
A_main,patient,Colorectal Cancer(CRC),Other tissue,16,13,13,560,6.00,5.00,33.75,28.75,3
A_main,patient,Thyroid Carcinoma(THCA),Other tissue,9,7,7,467,44.00,26.00,74.00,48.00,1
A_main,patient,Intrahepatic cholangiocarcinoma(ICC),Other tissue,2,1,1,348,174.00,104.00,244.00,140.00,1
A_main,patient,Hepatocellular Carcinoma(HCC),Other tissue,3,3,3,294,73.00,51.50,132.00,80.50,1
A_main,patient,Prostate Cancer(PRAD),Other tissue,7,7,7,242,26.00,24.00,43.50,19.50,1
A_main,patient,Renal Carcinoma(RC),Other tissue,3,3,3,64,12.00,10.50,27.50,17.00,1
A_main,patient,Renal Carcinoma(RC),Tumor,37,31,31,6473,96.00,35.00,246.00,211.00,7
A_main,patient,Lung Cancer(LC),Tumor,117,84,84,6110,33.00,22.00,74.00,52.00,8
A_main,patient,Breast Cancer(BRCA),Tumor,105,69,69,2517,16.00,7.00,28.00,21.00,9
A_main,patient,Hepatocellular Carcinoma(HCC),Tumor,29,21,21,2348,27.00,8.00,57.00,49.00,3
A_main,patient,Melanoma(MELA),Tumor,27,18,18,2266,36.00,23.50,105.50,82.00,3
A_main,patient,Colorectal Cancer(CRC),Tumor,152,93,93,2149,8.00,4.00,17.00,13.00,8
A_main,patient,Esophageal Cancer(ESCA),Tumor,58,58,58,1697,13.50,10.00,33.25,23.25,3
A_main,patient,Thyroid Carcinoma(THCA),Tumor,16,16,16,1588,69.50,33.75,169.25,135.50,3
A_main,patient,Pancreatic Cancer(PACA),Tumor,24,23,23,1566,30.50,22.25,62.25,40.00,2
A_main,patient,Head and Neck Squamous Cell Carcinoma(HNSCC),Tumor,28,28,28,1500,34.50,13.75,63.25,49.50,2
A_main,patient,Gastric Cancer(GC),Tumor,46,34,34,1493,21.50,8.50,39.75,31.25,2
A_main,patient,Multiple Myeloma(MM),Tumor,20,20,20,1360,43.50,31.75,120.25,88.50,1
A_main,patient,Nasopharyngeal Carcinoma(NPC),Tumor,23,23,22,692,15.00,11.50,31.50,20.00,3
A_main,patient,Neuroblastoma(NB),Tumor,14,14,14,633,17.50,6.75,24.00,17.25,1
A_main,patient,Uterine Corpus Endometrial Carcinoma(UCEC),Tumor,6,6,6,496,54.00,36.00,131.25,95.25,1
A_main,patient,Chronic Lymphocytic Leukemia(CLL),Tumor,12,4,4,391,14.50,2.00,33.75,31.75,1
A_main,patient,Acute Lymphocytic Leukemia(ALL),Tumor,11,11,11,307,10.00,8.00,40.50,32.50,2
A_main,patient,Ovarian Cancer(OV),Tumor,8,5,5,303,27.50,25.50,29.75,4.25,2
A_main,patient,Prostate Cancer(PRAD),Tumor,18,15,14,250,9.50,5.25,15.50,10.25,5
A_main,patient,Intrahepatic cholangiocarcinoma(ICC),Tumor,4,4,4,214,6.50,4.75,55.25,50.50,2
A_main,patient,Basal Cell Carinoma(BCC),Tumor,3,2,2,181,55.00,40.50,77.50,37.00,1
