object,group,cancer_type,tissue,n_samples,n_patients,n_patient_ids_raw,n_nk,nk_per_sample_median,nk_per_sample_q1,nk_per_sample_q3,nk_per_sample_iqr,n_datasets
B_pb_12_donors,healthy_donor,Healthy donor,"PBMC (pb_12_donors, bulk + sorted)",22,12,12,44640,1820.50,1366.25,2567.00,1200.75,4
B_milo,healthy_donor,Healthy donor,PBMC (reference),12,12,12,23136,1449.00,1334.50,2153.75,819.25,4
B_milo,patient,lung,Tumor (reference=tumor),2515,143,138,21608,1.00,1.00,1.00,0.00,11
B_milo,patient,glioblastoma,Tumor (reference=tumor),107,107,107,5741,10.00,4.00,34.00,30.00,15
B_milo,patient,breast,Tumor (reference=tumor),86,86,86,5130,35.00,10.50,68.00,57.50,5
B_milo,patient,melanoma,Tumor (reference=tumor),11,11,11,3084,12.00,9.00,22.00,13.00,2
B_milo,patient,sarcoma,Tumor (reference=tumor),18,18,18,1688,36.50,4.25,78.00,73.75,3
B_milo,patient,pancreas,Tumor (reference=tumor),41,40,40,1182,23.00,3.00,47.00,44.00,4
B_milo,patient,prostate,Tumor (reference=tumor),25,23,23,549,13.00,6.00,34.00,28.00,3
B_milo,reference_tissue,—,Reference tissue: brain_normal,282,4,4,718,2.00,1.00,3.00,2.00,1
B_milo,reference_tissue,—,Reference tissue: breast_normal,8,8,8,646,34.00,19.75,129.00,109.25,1
B_milo,reference_tissue,—,Reference tissue: lung_normal,85,85,85,25137,170.00,54.00,390.00,336.00,8
B_milo,reference_tissue,—,Reference tissue: pancreas_normal,9,9,9,673,65.00,2.00,78.00,76.00,3
B_milo,reference_tissue,—,Reference tissue: prostate_normal,11,10,10,288,12.00,5.00,30.00,25.00,2
B_milo,reference_tissue,—,Reference tissue: skin_normal,26,24,24,270,7.00,2.25,16.75,14.50,5
