object,group,tissue,n_samples,n_patients,n_patient_ids_raw,n_nk,nk_per_sample_median,nk_per_sample_q1,nk_per_sample_q3,nk_per_sample_iqr,n_datasets,n_cancer_types,patients_with_blood_and_tumor
A_main,healthy_donor,Blood,10.00,10.00,10.00,1436.00,139.50,68.75,154.50,85.75,2.00,1.00,88.00
A_main,patient,Blood,164.00,126.00,126.00,65766.00,184.00,73.00,401.50,328.50,13.00,11.00,88.00
A_main,patient,Normal,196.00,169.00,169.00,22792.00,55.00,8.00,134.25,126.25,21.00,13.00,88.00
A_main,patient,Other tissue,121.00,102.00,102.00,17410.00,34.00,16.00,136.00,120.00,13.00,9.00,88.00
A_main,patient,Tumor,769.00,590.00,557.00,34802.00,22.00,8.00,43.00,35.00,62.00,24.00,88.00
A_main,patient,Tumor (solid types only),720.00,549.00,518.00,32645.00,22.00,8.00,42.00,34.00,56.00,20.00,88.00
A_blood,healthy_donor,Blood,73.00,70.00,70.00,19143.00,189.00,124.00,365.00,241.00,9.00,1.00,0.00
A_blood,patient,Blood,164.00,126.00,126.00,65761.00,184.00,73.00,401.50,328.50,13.00,11.00,0.00
B_milo,healthy_donor,PBMC (reference),12.00,12.00,12.00,23136.00,1449.00,1334.50,2153.75,819.25,4.00,1.00,
B_milo,patient,Tumor (reference=tumor),2803.00,428.00,423.00,38982.00,1.00,1.00,1.00,0.00,41.00,7.00,
B_milo,reference_tissue,Reference tissue: brain_normal,282.00,4.00,4.00,718.00,2.00,1.00,3.00,2.00,1.00,1.00,
B_milo,reference_tissue,Reference tissue: breast_normal,8.00,8.00,8.00,646.00,34.00,19.75,129.00,109.25,1.00,1.00,
B_milo,reference_tissue,Reference tissue: lung_normal,85.00,85.00,85.00,25137.00,170.00,54.00,390.00,336.00,8.00,1.00,
B_milo,reference_tissue,Reference tissue: pancreas_normal,9.00,9.00,9.00,673.00,65.00,2.00,78.00,76.00,3.00,1.00,
B_milo,reference_tissue,Reference tissue: prostate_normal,11.00,10.00,10.00,288.00,12.00,5.00,30.00,25.00,2.00,1.00,
B_milo,reference_tissue,Reference tissue: skin_normal,26.00,24.00,24.00,270.00,7.00,2.25,16.75,14.50,5.00,1.00,
"B_milo excluding [('chan', 'tumor')]",healthy_donor,PBMC (reference),12.00,12.00,12.00,23136.00,1449.00,1334.50,2153.75,819.25,4.00,1.00,
"B_milo excluding [('chan', 'tumor')]",patient,Tumor (reference=tumor),443.00,414.00,409.00,36622.00,28.00,7.00,68.00,61.00,40.00,7.00,
"B_milo excluding [('chan', 'tumor')]",reference_tissue,Reference tissue: brain_normal,282.00,4.00,4.00,718.00,2.00,1.00,3.00,2.00,1.00,1.00,
"B_milo excluding [('chan', 'tumor')]",reference_tissue,Reference tissue: breast_normal,8.00,8.00,8.00,646.00,34.00,19.75,129.00,109.25,1.00,1.00,
"B_milo excluding [('chan', 'tumor')]",reference_tissue,Reference tissue: lung_normal,85.00,85.00,85.00,25137.00,170.00,54.00,390.00,336.00,8.00,1.00,
"B_milo excluding [('chan', 'tumor')]",reference_tissue,Reference tissue: pancreas_normal,9.00,9.00,9.00,673.00,65.00,2.00,78.00,76.00,3.00,1.00,
"B_milo excluding [('chan', 'tumor')]",reference_tissue,Reference tissue: prostate_normal,11.00,10.00,10.00,288.00,12.00,5.00,30.00,25.00,2.00,1.00,
"B_milo excluding [('chan', 'tumor')]",reference_tissue,Reference tissue: skin_normal,26.00,24.00,24.00,270.00,7.00,2.25,16.75,14.50,5.00,1.00,
B_pb_12_donors,healthy_donor,"PBMC (pb_12_donors, bulk + sorted)",22.00,12.00,12.00,44640.00,1820.50,1366.25,2567.00,1200.75,4.00,1.00,
