tissue,assay,n,orig,strict,loose,d_strict,d_loose,unclass
blood,10x 3' v3,3511,0.11392765593847906,0.10275572162540869,0.4528624323554543,-1.117193431307037,33.89347764169752,0.3902022215892908
bone marrow,10x 3' v3,6872,0.09167636786961583,0.0700218818380744,0.19601280558789289,-2.1654486031541436,10.433643771827706,0.13547729918509896
jejunal epithelium,10x 3' v3,60,0.7166666666666667,0.42857142857142855,0.7333333333333333,-28.809523809523814,1.6666666666666607,0.5333333333333333
jejunum lamina propria,10x 3' v3,72,0.4861111111111111,0.3333333333333333,0.6111111111111112,-15.277777777777779,12.500000000000005,0.4166666666666667
lung,10x 3' v3,2880,0.1486111111111111,0.08483171968649147,0.3107638888888889,-6.377939142461964,16.21527777777778,0.246875
spleen,10x 3' v3,5098,0.4225186347587289,0.22960151802656548,0.44252648097293057,-19.291711673216344,2.0007846214201654,0.2763828952530404
thoracic lymph node,10x 3' v3,377,0.9098143236074271,0.5263157894736842,0.7612732095490716,-38.34985341337429,-14.854111405835546,0.4960212201591512
blood,10x 5' v1,206,0.11650485436893204,0.07253886010362694,0.13106796116504854,-4.396599426530511,1.4563106796116498,0.06310679611650485
bone marrow,10x 5' v1,601,0.09983361064891846,0.04854368932038835,0.18469217970049917,-5.1289921328530115,8.485856905158071,0.14309484193011648
liver,10x 5' v1,1515,0.6534653465346535,0.4078341013824885,0.6607260726072607,-24.5631245152165,0.7260726072607193,0.4270627062706271
lung,10x 5' v1,324,0.08950617283950617,0.03180212014134275,0.15432098765432098,-5.770405269816341,6.481481481481481,0.12654320987654322
skeletal muscle tissue,10x 5' v1,134,0.1044776119402985,0.06299212598425197,0.11194029850746269,-4.1485485956046535,0.7462686567164187,0.05223880597014925
spleen,10x 5' v1,1361,0.6061719324026451,0.2948717948717949,0.5150624540778839,-31.130013753085024,-9.110947832476125,0.31227038941954444
thoracic lymph node,10x 5' v1,257,0.9649805447470817,0.5538461538461539,0.77431906614786,-41.11343909009278,-19.06614785992218,0.49416342412451364
blood,10x 5' v2,267,0.07865168539325842,0.07042253521126761,0.25842696629213485,-0.8229150181990816,17.97752808988764,0.20224719101123595
bone marrow,10x 5' v2,753,0.18857901726427623,0.07561728395061729,0.20451527224435592,-11.296173331365894,1.5936254980079694,0.1394422310756972
jejunal epithelium,10x 5' v2,66,0.8484848484848485,0.6176470588235294,0.803030303030303,-23.083778966131906,-4.545454545454552,0.48484848484848486
jejunum lamina propria,10x 5' v2,71,0.5211267605633803,0.34615384615384615,0.5211267605633803,-17.49729144095341,0.0,0.2676056338028169
liver,10x 5' v2,2072,0.3450772200772201,0.172289156626506,0.33687258687258687,-17.278806345071406,-0.8204633204633216,0.19884169884169883
mesenteric lymph node,10x 5' v2,950,0.6178947368421053,0.344,0.5684210526315789,-27.38947368421053,-4.947368421052634,0.34210526315789475
spleen,10x 5' v2,1751,0.520845231296402,0.23955870764381404,0.4488863506567676,-28.128652365258798,-7.195888063963446,0.2752712735579669
thoracic lymph node,10x 5' v2,177,0.8418079096045198,0.4094488188976378,0.576271186440678,-43.2359090706882,-26.55367231638418,0.2824858757062147
