labelling,tissue,assay,donor,n_nk,n_bright,n_unclass,median_umi,bright_frac,stress,CCL3,CCL3_bright,CCL4,CCL4_bright,CCL5,CCL5_bright,XCL1,XCL1_bright,XCL2,XCL2_bright
original,jejunum lamina propria,10x 3' v3,D496,22,1,0,4781.5,0.045454545454545456,0.7195733653166416,0.6363636363636364,0.0,0.6818181818181818,0.0,0.9090909090909091,1.0,0.13636363636363635,0.0,0.3181818181818182,0.0
original,jejunum lamina propria,10x 3' v3,D503,50,34,0,4041.5,0.68,2.084880871246934,0.6,0.5,0.84,0.7941176470588235,0.72,0.6764705882352942,0.46,0.5882352941176471,0.56,0.6470588235294118
original,jejunum lamina propria,10x 5' v2,582C,12,7,0,3397.5,0.5833333333333334,1.6253868121906372,0.5,0.2857142857142857,0.75,0.5714285714285714,0.5833333333333334,0.42857142857142855,0.75,0.8571428571428571,0.8333333333333334,0.8571428571428571
original,jejunum lamina propria,10x 5' v2,637C,4,2,0,2835.0,0.5,0.8771260061815529,0.5,0.5,0.25,0.0,0.25,0.0,0.5,1.0,0.75,1.0
original,jejunum lamina propria,10x 5' v2,640C,55,28,0,4529.0,0.509090909090909,3.254163785811763,0.6,0.6428571428571429,0.8181818181818182,0.8571428571428571,0.9090909090909091,0.8571428571428571,0.45454545454545453,0.7857142857142857,0.4727272727272727,0.8571428571428571
original,blood,10x 3' v3,D496,950,11,0,4094.5,0.011578947368421053,1.114168527426824,0.30526315789473685,0.36363636363636365,0.6736842105263158,0.18181818181818182,0.8852631578947369,0.8181818181818182,0.02631578947368421,0.18181818181818182,0.18736842105263157,0.36363636363636365
original,blood,10x 3' v3,D503,2561,389,0,3633.0,0.15189379148770013,1.3129754745215945,0.6556032799687622,0.19023136246786632,0.7313549394767669,0.2802056555269923,0.6852791878172588,0.38303341902313626,0.2951971885982038,0.8997429305912596,0.552909019914096,0.8097686375321337
original,blood,10x 5' v1,A35,81,9,0,3903.0,0.1111111111111111,0.523657784786817,0.25925925925925924,0.1111111111111111,0.7283950617283951,0.4444444444444444,0.9382716049382716,0.7777777777777778,0.37037037037037035,1.0,0.13580246913580246,0.3333333333333333
original,blood,10x 5' v1,A36,125,15,0,5019.0,0.12,0.615575991539399,0.152,0.06666666666666667,0.672,0.4,0.896,0.8,0.128,0.8,0.4,1.0
original,blood,10x 5' v2,621B,4,1,0,3679.5,0.25,0.8767578800658093,0.5,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0
original,blood,10x 5' v2,637C,263,20,0,4382.0,0.07604562737642585,1.4275013310420717,0.8250950570342205,0.7,0.8631178707224335,0.6,0.8517110266159695,0.7,0.18631178707224336,0.8,0.3688212927756654,0.85
original,jejunal epithelium,10x 3' v3,D496,4,3,0,3826.5,0.75,0.9323709415514578,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.5,0.6666666666666666
original,jejunal epithelium,10x 3' v3,D503,56,40,0,3935.5,0.7142857142857143,2.156091611050251,0.5892857142857143,0.625,0.8928571428571429,0.875,0.7321428571428571,0.725,0.5,0.625,0.6607142857142857,0.725
original,jejunal epithelium,10x 5' v2,582C,26,26,0,2829.0,1.0,1.3727601789000963,0.23076923076923078,0.23076923076923078,0.34615384615384615,0.34615384615384615,0.46153846153846156,0.46153846153846156,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231
original,jejunal epithelium,10x 5' v2,637C,5,5,0,2947.0,1.0,1.5903527891332048,0.6,0.6,0.6,0.6,1.0,1.0,0.8,0.8,0.8,0.8
original,jejunal epithelium,10x 5' v2,640C,35,25,0,4163.0,0.7142857142857143,2.8666061836672707,0.6857142857142857,0.72,0.8857142857142857,0.88,0.9142857142857143,0.88,0.6857142857142857,0.84,0.5428571428571428,0.72
original,skeletal muscle tissue,10x 5' v1,A29,2,0,0,4319.5,0.0,0.8511833876047069,0.5,,1.0,,1.0,,1.0,,0.5,
original,skeletal muscle tissue,10x 5' v1,A35,127,14,0,5232.0,0.11023622047244094,1.331422187003816,0.6535433070866141,0.7142857142857143,0.952755905511811,0.9285714285714286,0.8976377952755905,0.7142857142857143,0.5984251968503937,1.0,0.2992125984251969,0.7142857142857143
original,skeletal muscle tissue,10x 5' v1,A37,5,0,0,4503.0,0.0,1.0146697254772872,0.6,,1.0,,0.8,,0.2,,0.6,
original,caecum,10x 5' v1,A29,2,1,0,5145.5,0.5,2.887111925630573,1.0,1.0,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0
original,transverse colon,10x 5' v1,A29,4,3,0,4185.5,0.75,2.2813043756543125,0.5,0.3333333333333333,0.75,0.6666666666666666,0.75,0.6666666666666666,0.75,1.0,0.75,1.0
original,sigmoid colon,10x 5' v1,A29,1,0,0,4983.0,0.0,3.003106671528441,0.0,,1.0,,1.0,,0.0,,0.0,
original,lung,10x 3' v3,D496,808,11,0,4192.0,0.013613861386138614,1.128254778899293,0.8044554455445545,0.9090909090909091,0.9356435643564357,0.7272727272727273,0.8551980198019802,0.7272727272727273,0.11386138613861387,0.45454545454545453,0.35396039603960394,0.7272727272727273
original,lung,10x 3' v3,D503,2072,417,0,4010.0,0.20125482625482624,1.5305365070839698,0.750965250965251,0.5467625899280576,0.8875482625482626,0.7338129496402878,0.7046332046332047,0.5371702637889688,0.27606177606177607,0.750599520383693,0.5135135135135135,0.8249400479616307
original,lung,10x 5' v1,A29,125,9,0,4674.0,0.072,1.3163635800032054,0.752,0.6666666666666666,0.984,0.8888888888888888,0.904,0.7777777777777778,0.68,1.0,0.48,0.6666666666666666
original,lung,10x 5' v1,A31,18,0,0,2664.0,0.0,1.6335616384205824,0.6666666666666666,,0.8888888888888888,,0.8888888888888888,,0.6111111111111112,,0.05555555555555555,
original,lung,10x 5' v1,A35,6,1,0,2805.0,0.16666666666666666,2.2306912417808182,0.6666666666666666,1.0,0.8333333333333334,1.0,0.6666666666666666,1.0,0.5,1.0,0.16666666666666666,0.0
original,lung,10x 5' v1,A36,51,10,0,4662.0,0.19607843137254902,1.0995147760876558,0.45098039215686275,0.6,0.8431372549019608,0.7,0.7843137254901961,0.6,0.23529411764705882,0.8,0.4117647058823529,0.9
original,lung,10x 5' v1,A37,8,5,0,2512.0,0.625,2.2550926881270206,0.375,0.2,0.875,1.0,0.875,0.8,0.625,0.8,0.75,1.0
original,lung,10x 5' v1,A52,116,4,0,3758.0,0.034482758620689655,1.852133734798376,0.7241379310344828,0.25,0.9396551724137931,0.25,0.8189655172413793,0.5,0.33620689655172414,1.0,0.7758620689655172,0.75
original,lung,10x 5' v2,637C,19,3,0,5155.0,0.15789473684210525,1.7202333399286294,0.7894736842105263,0.6666666666666666,0.8947368421052632,1.0,0.9473684210526315,1.0,0.10526315789473684,0.6666666666666666,0.47368421052631576,1.0
original,lung,10x 5' v2,640C,10,2,0,4549.5,0.2,1.8859711015957772,0.8,0.5,0.8,0.0,0.9,0.5,0.2,0.5,0.2,0.5
original,spleen,10x 3' v3,D496,1459,136,0,4347.0,0.0932145305003427,1.4458238832024366,0.6052090472926662,0.6691176470588235,0.9163810829335161,0.875,0.8588074023303632,0.7794117647058824,0.08361891706648389,0.5955882352941176,0.25017135023989034,0.7794117647058824
original,spleen,10x 3' v3,D503,3639,2018,0,4148.0,0.5545479527342676,1.8614597960543582,0.6237977466336906,0.6635282457879088,0.8004946413849959,0.744796828543112,0.6210497389392691,0.5445986124876115,0.38307227260236326,0.6313181367690783,0.5103050288540808,0.7125867195242814
original,spleen,10x 5' v1,A29,136,72,0,6078.5,0.5294117647058824,2.2680024518543243,0.6911764705882353,0.7222222222222222,0.8897058823529411,0.8194444444444444,0.7573529411764706,0.6805555555555556,0.8529411764705882,1.0,0.6691176470588235,0.8888888888888888
original,spleen,10x 5' v1,A31,64,57,0,5773.5,0.890625,2.4912870571898003,0.765625,0.7894736842105263,0.875,0.8596491228070176,0.703125,0.7017543859649122,0.96875,0.9824561403508771,0.71875,0.7719298245614035
original,spleen,10x 5' v1,A35,206,121,0,5326.5,0.587378640776699,3.396658396066234,0.7281553398058253,0.859504132231405,0.9271844660194175,0.9008264462809917,0.8883495145631068,0.8512396694214877,0.7669902912621359,0.9090909090909091,0.5679611650485437,0.7272727272727273
original,spleen,10x 5' v1,A36,479,390,0,4939.0,0.81419624217119,3.0540238498741634,0.8079331941544885,0.8564102564102564,0.918580375782881,0.9230769230769231,0.8288100208768268,0.823076923076923,0.6179540709812108,0.7410256410256411,0.7411273486430062,0.8384615384615385
