tissue,assay,donors,n_nk,ITGA1,ITGAE,CD69,NCAM1,FCGR3A,reportable
blood,10x 3' v3,2,3511,0.002419285229864979,0.2599414291292464,0.8737549065948745,0.18101543393822314,0.6008450646334696,False
blood,10x 5' v1,2,206,0.008,0.1897283950617284,0.5222222222222221,0.2951111111111111,0.8724444444444444,False
blood,10x 5' v2,2,267,0.0,0.2827946768060836,0.7138783269961977,0.2504752851711026,0.745722433460076,False
bone marrow,10x 3' v3,2,6872,0.004033459495996336,0.25518207604833343,0.8970099363738364,0.23365738068604566,0.8235227390748412,False
bone marrow,10x 5' v1,5,601,0.0,0.2389937106918239,0.8108108108108109,0.23170731707317074,0.8353658536585366,True
bone marrow,10x 5' v2,3,753,0.0,0.18181818181818182,0.9010416666666666,0.23177083333333334,0.7395833333333334,True
caecum,10x 5' v1,1,2,0.0,0.0,1.0,0.0,1.0,False
duodenum,10x 5' v1,2,5,0.125,0.25,1.0,0.125,0.75,False
ileum,10x 5' v1,1,1,0.0,0.0,1.0,0.0,1.0,False
jejunal epithelium,10x 3' v3,2,60,0.09821428571428571,0.4107142857142857,0.7053571428571428,0.25,0.14285714285714285,False
jejunal epithelium,10x 5' v2,3,66,0.11428571428571428,0.5428571428571428,0.7307692307692307,0.37142857142857144,0.2,False
jejunum lamina propria,10x 3' v3,2,72,0.16545454545454547,0.3345454545454546,0.7963636363636364,0.2381818181818182,0.4581818181818182,False
jejunum lamina propria,10x 5' v2,3,71,0.0,0.25,0.75,0.3333333333333333,0.4166666666666667,False
liver,10x 5' v1,5,1515,0.003284072249589491,0.26332288401253917,0.8463949843260188,0.31746031746031744,0.40425531914893614,True
liver,10x 5' v2,2,2072,0.010970859679301795,0.25371155910324494,0.9503855221774855,0.33709824839346225,0.6553605159669459,False
lung,10x 3' v3,2,2880,0.011403818953323904,0.2514168163920639,0.8918202148400168,0.2104103750143354,0.7209827401659086,False
lung,10x 5' v1,6,324,0.0,0.18958620689655173,0.7712418300653594,0.21975862068965518,0.7711372549019608,True
lung,10x 5' v2,2,29,0.0,0.3078947368421052,0.9736842105263157,0.2578947368421053,0.8210526315789474,False
mesenteric lymph node,10x 5' v1,5,41,0.0,0.3333333333333333,1.0,0.3333333333333333,0.2,False
mesenteric lymph node,10x 5' v2,3,950,0.0,0.25471698113207547,0.9357682619647355,0.3261964735516373,0.22,True
omentum,10x 5' v1,4,33,0.0,0.20202020202020202,1.0,0.3333333333333333,0.6944444444444444,False
sigmoid colon,10x 5' v1,1,1,0.0,0.0,1.0,0.0,1.0,False
skeletal muscle tissue,10x 5' v1,3,134,0.0,0.0,0.905511811023622,0.28346456692913385,1.0,False
spleen,10x 3' v3,2,5098,0.004049308939161671,0.2464422341095372,0.8968708875236119,0.30537965355514785,0.6430110103006026,False
spleen,10x 5' v1,6,1361,0.0,0.2617980072463768,0.9452472599164927,0.40296836045969553,0.5884271099744245,True
spleen,10x 5' v2,4,1751,0.0023510971786833857,0.265282131661442,0.9416348052983492,0.351277762583016,0.5324630241316194,True
thoracic lymph node,10x 3' v3,2,377,0.020866454689984104,0.29864864864864865,0.922972972972973,0.3192368839427663,0.39729729729729735,False
thoracic lymph node,10x 5' v1,6,257,0.0,0.22833333333333333,0.9066666666666667,0.3538288288288288,0.24444444444444444,True
thoracic lymph node,10x 5' v2,4,177,0.0,0.21085189112760694,0.8371647509578544,0.5291622481442206,0.3861788617886179,False
thymus,10x 5' v1,1,2,0.0,0.0,0.5,0.0,1.0,False
transverse colon,10x 5' v1,1,4,0.0,0.0,0.75,0.25,0.5,False
