tissue,assay,donor,n_nk,ITGA1,ITGAE,CD69,NCAM1,FCGR3A
jejunum lamina propria,10x 3' v3,D496,22,0.09090909090909091,0.4090909090909091,0.7727272727272727,0.13636363636363635,0.6363636363636364
jejunum lamina propria,10x 3' v3,D503,50,0.24,0.26,0.82,0.34,0.28
jejunum lamina propria,10x 5' v2,582C,12,0.0,0.25,0.75,0.3333333333333333,0.4166666666666667
jejunum lamina propria,10x 5' v2,637C,4,0.0,0.0,0.75,0.25,0.25
jejunum lamina propria,10x 5' v2,640C,55,0.12727272727272726,0.34545454545454546,0.9454545454545454,0.36363636363636365,0.509090909090909
blood,10x 3' v3,D496,950,0.002105263157894737,0.22,0.8568421052631578,0.23473684210526316,0.7178947368421053
blood,10x 3' v3,D503,2561,0.002733307301835221,0.29988285825849276,0.8906677079265912,0.12729402577118312,0.48379539242483405
blood,10x 5' v1,A35,81,0.0,0.12345679012345678,0.4444444444444444,0.2222222222222222,0.8888888888888888
blood,10x 5' v1,A36,125,0.016,0.256,0.6,0.368,0.856
blood,10x 5' v2,621B,4,0.0,0.25,0.5,0.25,0.75
blood,10x 5' v2,637C,263,0.0,0.3155893536121673,0.9277566539923955,0.2509505703422053,0.7414448669201521
jejunal epithelium,10x 3' v3,D496,4,0.0,0.5,0.5,0.25,0.0
jejunal epithelium,10x 3' v3,D503,56,0.19642857142857142,0.32142857142857145,0.9107142857142857,0.25,0.2857142857142857
jejunal epithelium,10x 5' v2,582C,26,0.0,0.19230769230769232,0.7307692307692307,0.5384615384615384,0.11538461538461539
jejunal epithelium,10x 5' v2,637C,5,0.2,0.8,0.6,0.2,0.2
jejunal epithelium,10x 5' v2,640C,35,0.11428571428571428,0.5428571428571428,0.9142857142857143,0.37142857142857144,0.2571428571428571
skeletal muscle tissue,10x 5' v1,A29,2,0.0,0.0,1.0,0.0,1.0
skeletal muscle tissue,10x 5' v1,A35,127,0.0,0.2283464566929134,0.905511811023622,0.28346456692913385,0.8818897637795275
skeletal muscle tissue,10x 5' v1,A37,5,0.0,0.0,0.6,0.6,1.0
caecum,10x 5' v1,A29,2,0.0,0.0,1.0,0.0,1.0
transverse colon,10x 5' v1,A29,4,0.0,0.0,0.75,0.25,0.5
sigmoid colon,10x 5' v1,A29,1,0.0,0.0,1.0,0.0,1.0
lung,10x 3' v3,D496,808,0.0049504950495049506,0.24752475247524752,0.926980198019802,0.2103960396039604,0.7933168316831684
lung,10x 3' v3,D503,2072,0.017857142857142856,0.2553088803088803,0.8566602316602316,0.21042471042471042,0.6486486486486487
lung,10x 5' v1,A29,125,0.008,0.224,0.856,0.224,0.856
lung,10x 5' v1,A31,18,0.0,0.05555555555555555,0.7777777777777778,0.1111111111111111,0.8888888888888888
lung,10x 5' v1,A35,6,0.0,0.0,0.6666666666666666,0.6666666666666666,0.5
lung,10x 5' v1,A36,51,0.0196078431372549,0.29411764705882354,0.7647058823529411,0.2549019607843137,0.6862745098039216
lung,10x 5' v1,A37,8,0.0,0.25,1.0,0.125,0.375
lung,10x 5' v1,A52,116,0.0,0.15517241379310345,0.7586206896551724,0.21551724137931033,0.9482758620689655
lung,10x 5' v2,637C,19,0.0,0.3157894736842105,0.9473684210526315,0.3157894736842105,0.8421052631578947
lung,10x 5' v2,640C,10,0.0,0.3,1.0,0.2,0.8
spleen,10x 3' v3,D496,1459,0.003427004797806717,0.2227553118574366,0.8910212474297464,0.2878684030157642,0.8430431802604523
spleen,10x 3' v3,D503,3639,0.004671613080516625,0.2701291563616378,0.9027205276174773,0.3228909040945315,0.44297884034075297
spleen,10x 5' v1,A29,136,0.0,0.29411764705882354,0.9705882352941176,0.4338235294117647,0.6029411764705882
spleen,10x 5' v1,A31,64,0.0,0.265625,0.953125,0.5,0.1875
spleen,10x 5' v1,A35,206,0.0048543689320388345,0.2524271844660194,0.9805825242718447,0.3737864077669903,0.6310679611650486
spleen,10x 5' v1,A36,479,0.020876826722338204,0.29018789144050106,0.9373695198329853,0.4321503131524008,0.31524008350730687
spleen,10x 5' v1,A37,345,0.0,0.2579710144927536,0.8289855072463768,0.17681159420289855,0.5739130434782609
spleen,10x 5' v1,A52,131,0.0,0.13740458015267176,0.5725190839694656,0.29770992366412213,0.6641221374045801
spleen,10x 5' v2,582C,447,0.006711409395973154,0.2930648769574944,0.8098434004474273,0.34675615212527966,0.5100671140939598
spleen,10x 5' v2,621B,320,0.0,0.25,0.978125,0.234375,0.48125
spleen,10x 5' v2,637C,638,0.004702194357366771,0.28056426332288403,0.9670846394984326,0.3557993730407524,0.554858934169279
spleen,10x 5' v2,640C,346,0.0,0.18786127167630057,0.9161849710982659,0.3901734104046243,0.661849710982659
liver,10x 5' v1,A29,64,0.0,0.265625,0.8125,0.375,0.59375
liver,10x 5' v1,A31,141,0.014184397163120567,0.19858156028368795,0.7375886524822695,0.2978723404255319,0.40425531914893614
liver,10x 5' v1,A35,63,0.0,0.2698412698412698,0.9365079365079365,0.31746031746031744,0.6349206349206349
liver,10x 5' v1,A36,609,0.003284072249589491,0.09195402298850575,0.8472906403940886,0.17898193760262726,0.20853858784893267
liver,10x 5' v1,A52,638,0.007836990595611285,0.26332288401253917,0.8463949843260188,0.43103448275862066,0.3949843260188088
liver,10x 5' v2,637C,955,0.0031413612565445027,0.3382198952879581,0.9392670157068063,0.32146596858638743,0.556020942408377
liver,10x 5' v2,640C,1117,0.018800358102059087,0.1692032229185318,0.9615040286481648,0.35273052820053713,0.7547000895255148
duodenum,10x 5' v1,A31,4,0.25,0.5,1.0,0.25,0.5
duodenum,10x 5' v1,A37,1,0.0,0.0,1.0,0.0,1.0
ileum,10x 5' v1,A36,1,0.0,0.0,1.0,0.0,1.0
thymus,10x 5' v1,A31,2,0.0,0.0,0.5,0.0,1.0
bone marrow,10x 3' v3,D496,1884,0.002653927813163482,0.23991507430997877,0.9193205944798302,0.21390658174097665,0.8667728237791932
bone marrow,10x 3' v3,D503,4988,0.00541299117882919,0.27044907778668803,0.8746992782678428,0.25340817963111467,0.7802726543704892
bone marrow,10x 5' v1,A29,185,0.005405405405405406,0.1837837837837838,0.6270270270270271,0.17297297297297298,0.8324324324324325
bone marrow,10x 5' v1,A31,19,0.0,0.10526315789473684,0.631578947368421,0.21052631578947367,0.8947368421052632
bone marrow,10x 5' v1,A35,159,0.0,0.2389937106918239,0.8867924528301887,0.3018867924528302,0.8742138364779874
bone marrow,10x 5' v1,A36,74,0.013513513513513514,0.32432432432432434,0.8108108108108109,0.28378378378378377,0.581081081081081
bone marrow,10x 5' v1,A37,164,0.0,0.2682926829268293,0.8414634146341463,0.23170731707317074,0.8353658536585366
bone marrow,10x 5' v2,621B,33,0.0,0.18181818181818182,0.9393939393939394,0.21212121212121213,0.6363636363636364
bone marrow,10x 5' v2,637C,384,0.0,0.328125,0.9010416666666666,0.23177083333333334,0.7395833333333334
bone marrow,10x 5' v2,640C,336,0.0,0.15476190476190477,0.8630952380952381,0.31547619047619047,0.875
mesenteric lymph node,10x 5' v1,A29,5,0.0,0.0,1.0,0.2,0.2
mesenteric lymph node,10x 5' v1,A31,8,0.0,0.375,0.875,0.5,0.25
mesenteric lymph node,10x 5' v1,A35,14,0.0,0.14285714285714285,1.0,0.7857142857142857,0.14285714285714285
mesenteric lymph node,10x 5' v1,A36,11,0.0,0.5454545454545454,0.9090909090909091,0.09090909090909091,0.18181818181818182
