gene,p_green,p_red,n_pos_green,drop,d_null,resid
Mrpl15,0.21558441558441557,0.2076923076923077,83,0.036607970342909996,0.11469879518072268,-0.07809082483781268
Lypla1,0.15844155844155844,0.16615384615384615,61,-0.048675914249684746,0.11344262295081951,-0.16211853720050426
Tcea1,0.2779220779220779,0.32461538461538464,107,-0.16800862688713172,0.10878504672897184,-0.2767936736161036
Atp6v1h,0.23116883116883116,0.14923076923076922,89,0.35445116681071737,0.11325842696629207,0.2411927398444253
Rb1cc1,0.5142857142857142,0.34307692307692306,198,0.3329059829059829,0.07090909090909095,0.2619968919968919
4732440D04Rik,0.0987012987012987,0.14,38,-0.418421052631579,0.12947368421052644,-0.5478947368421054
Pcmtd1,0.38701298701298703,0.36923076923076925,149,0.045947341249354665,0.08026845637583895,-0.03432111512648428
Rrs1,0.07012987012987013,0.11692307692307692,27,-0.6672364672364673,0.1348148148148149,-0.8020512820512822
Vcpip1,0.3246753246753247,0.26615384615384613,125,0.18024615384615392,0.10080000000000014,0.07944615384615378
Sgk3,0.05714285714285714,0.047692307692307694,22,0.16538461538461532,0.12000000000000018,0.04538461538461515
Snhg6,0.18961038961038962,0.19846153846153847,73,-0.04668071654373023,0.12054794520547958,-0.1672286617492098
Cops5,0.2649350649350649,0.2630769230769231,102,0.007013574660633323,0.10980392156862732,-0.102790346907994
Cspp1,0.24935064935064935,0.2276923076923077,96,0.08685897435897436,0.09124999999999964,-0.004391025641025281
Arfgef1,0.43376623376623374,0.38153846153846155,167,0.12040534315983412,0.09029940119760445,0.030105941962229668
Ncoa2,0.3012987012987013,0.20461538461538462,116,0.3208885941644562,0.11,0.2108885941644562
Tram1,0.5558441558441558,0.4876923076923077,214,0.12260963335729683,0.08897196261682216,0.03363767074047466
Lactb2,0.12467532467532468,0.09538461538461539,48,0.2349358974358974,0.10166666666666675,0.13326923076923064
Eya1,0.21038961038961038,0.1123076923076923,81,0.4661918328584995,0.09432098765432106,0.37187084520417846
Terf1,0.17922077922077922,0.14307692307692307,69,0.20167224080267562,0.10028985507246362,0.10138238573021201
Rpl7,0.9688311688311688,0.936923076923077,373,0.03293462569601974,0.006970509383377996,0.02596411631264174
Ube2w,0.18181818181818182,0.11538461538461539,70,0.36538461538461536,0.1171428571428574,0.24824175824175798
Eloc,0.4857142857142857,0.4369230769230769,187,0.10045248868778281,0.09176470588235298,0.008687782805429825
Tmem70,0.09090909090909091,0.12461538461538461,35,-0.37076923076923074,0.1337142857142857,-0.5044835164835164
Mcm3,0.08051948051948052,0.09692307692307692,31,-0.2037220843672456,0.11096774193548387,-0.31468982630272946
Khdc1a,0.17142857142857143,0.1276923076923077,66,0.25512820512820517,0.09636363636363651,0.15876456876456865
