decile,n,mean_umi,pg_lo,pg_hi,rho_raw,rho_resid,p_resid
1,630,0.062576788291074,0.05194805194805195,0.07012987012987013,0.05663771360639838,0.05227892107731061,0.19003322852075077
2,772,0.08322118296211561,0.05194805194805195,0.09610389610389611,0.014589804118813806,0.0020826269103432775,0.9539303580161728
3,729,0.11331658739066147,0.05714285714285714,0.12727272727272726,0.11616635256861094,0.10214822866632944,0.00577141689272624
4,745,0.14958598448531335,0.06493506493506493,0.16103896103896104,0.08381576898964434,0.07094397240183489,0.05291898602939815
5,733,0.19341967718502506,0.09350649350649351,0.2051948051948052,0.08628023366431015,0.07006901884699172,0.05794152743688816
6,732,0.2540628770136967,0.09090909090909091,0.2571428571428571,0.11883143035527012,0.10478866969868067,0.004538559078259746
7,726,0.34699295195162966,0.09350649350649351,0.33766233766233766,-0.010569144695858445,-0.02412611773771037,0.5163139520296001
8,723,0.49046361660469545,0.16103896103896104,0.45194805194805193,0.05733163261509732,0.05171347523802537,0.1648237661471342
9,724,0.80329697926383,0.13246753246753246,0.6753246753246753,0.04646044866121273,0.06472611416299277,0.08178571528872979
10,725,4.980428123600537,0.11948051948051948,1.0,-0.23977242780851363,-0.04691566269840031,0.20703588760243044
