gene,p_green,p_red,drop_ratio,null_drop,resid,n_pos_green,resid_pct
Mrpl15,0.34771968854282537,0.30968739264857437,0.10937630840989011,0.11111964171465127,-0.0017433333047611604,1563,0.45706281650684194
Lypla1,0.3846496106785317,0.307110958433528,0.20158255745592352,0.11250433776749556,0.08907821968842795,1729,0.8113349854541536
Tcea1,0.6126807563959955,0.5858811405015458,0.043741566247476875,0.07927378358750897,-0.0355322173400321,2754,0.308910677728693
Atp6v1h,0.35951056729699665,0.286499484713157,0.20308466349898466,0.1199009900990098,0.08318367339997486,1616,0.7958194160112056
Rb1cc1,0.4295884315906563,0.39556853315012025,0.07919184023314838,0.10436043500776801,-0.025168594774619635,1931,0.35265596379700465
4732440D04Rik,0.0896551724137931,0.08124355891446239,0.09382184287715027,0.14431761786600503,-0.050495774988854755,403,0.25352871457817044
Pcmtd1,0.4157953281423804,0.42837512882171075,-0.030254790825890797,0.10531835205992526,-0.13557314288581607,1869,0.09891175519879324
Rrs1,0.16262513904338152,0.13431810374441772,0.1740630966742029,0.12191518467852269,0.052147911995680196,731,0.6893653701109794
Vcpip1,0.30589543937708563,0.24373067674338716,0.20322226039161792,0.12305454545454526,0.08016771493707266,1375,0.7856911970692814
Sgk3,0.11835372636262514,0.09515630367571282,0.196000780033216,0.12473684210526334,0.07126393792795266,532,0.7573537334338972
Snhg6,0.203559510567297,0.14977670903469598,0.26421168621753177,0.12542076502732233,0.13879092119020944,915,0.9017347268613296
Cops5,0.307230255839822,0.26434215046375814,0.1395959693449725,0.11803041274438797,0.02156555660058454,1381,0.5631936213770068
Cspp1,0.21112347052280311,0.16763998625901752,0.20596234116513829,0.12248682824025307,0.08347551292488521,949,0.796573645081349
Arfgef1,0.45539488320355953,0.41360357265544484,0.09176938979666611,0.10770884220810927,-0.01593945241144315,2047,0.39446180368494776
Ncoa2,0.5799777530589544,0.537444177258674,0.07333656433535111,0.08300728807057947,-0.009670723735228356,2607,0.42398448443055703
Tram1,0.5966629588431591,0.5214702851253865,0.12602202399753462,0.08205816554809868,0.04396385844943594,2682,0.6611356534856158
Lactb2,0.15417130144605118,0.13964273445551356,0.09423652037873965,0.13391053391053398,-0.039674013531794325,693,0.2924253851955608
Terf1,0.3014460511679644,0.2670903469598076,0.1139696608233689,0.1205608856088561,-0.006591224785487196,1355,0.4373451136730956
Rpl7,0.9085650723025585,0.9414290621779458,-0.03617131108958519,0.010146914789422073,-0.04631822587900726,4084,0.26925977804115936
Ube2w,0.26473859844271413,0.23102026794915836,0.1273646181248178,0.13129411764705887,-0.003929499522241059,1190,0.4466113565348562
