tissue,assay,donors,n_nk,n_nonnk,IL15_nonNK,IL15RA_nonNK,IL2RB_NK,IL2RG_NK,CISH_NK,BCL2_NK,SOCS1_NK,PIM1_NK,CCL3_NK,CCL4_NK,CCL5_NK,XCL1_NK,reportable
blood,10x 3' v3,2,3511,13088,0.011387154181628254,0.03711136574923833,0.5579405659795722,0.7569954170862533,0.009847099200558993,0.13100721346513491,0.22065537721695883,0.33631352884358495,0.4804332189317495,0.7025195750015414,0.7852711728559978,0.16075648903594403,False
blood,10x 5' v1,2,206,2744,0.022150310297037575,0.06731670375678049,0.8397530864197531,0.9207901234567901,0.030518518518518518,0.09703703703703703,0.14069135802469135,0.4142222222222222,0.2056296296296296,0.7001975308641976,0.9171358024691358,0.24918518518518518,False
blood,10x 5' v2,2,267,517,0.010440835266821345,0.03134948470296228,0.7970532319391634,0.9011406844106464,0.015209125475285171,0.06463878326996197,0.4838403041825095,0.5180608365019012,0.6625475285171103,0.9315589353612168,0.9258555133079848,0.3431558935361217,False
bone marrow,10x 3' v3,2,6872,16269,0.023721960658258802,0.027050204524111155,0.6430484117295522,0.8601582226217657,0.03685575742716703,0.21177854451532935,0.29665145393530457,0.4002044396998657,0.7351299168960921,0.9370989312779545,0.7923849510587618,0.1535351510291366,False
bone marrow,10x 5' v1,5,601,2434,0.027576197387518143,0.038834951456310676,0.8324324324324325,0.8421052631578947,0.10526315789473684,0.27439024390243905,0.3584905660377358,0.44654088050314467,0.8170731707317073,0.9024390243902439,0.8378378378378378,0.3157894736842105,True
bone marrow,10x 5' v2,3,753,2249,0.026415094339622643,0.03644646924829157,0.8046875,0.84375,0.03125,0.30303030303030304,0.42424242424242425,0.45454545454545453,0.6363636363636364,0.84375,0.8645833333333334,0.2786458333333333,True
caecum,10x 5' v1,4,2,200,0.015384615384615385,0.0847567287784679,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,False
duodenum,10x 5' v1,3,5,533,0.0,0.04271844660194175,1.0,0.875,0.125,0.625,0.125,0.625,0.75,0.875,1.0,0.25,False
ileum,10x 5' v1,5,1,697,0.037037037037037035,0.05574912891986063,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,False
jejunal epithelium,10x 3' v3,2,60,16135,0.040379145443472486,0.02280225376106923,0.7142857142857143,0.5625,0.008928571428571428,0.09821428571428571,0.125,0.3125,0.29464285714285715,0.9464285714285714,0.8660714285714286,0.5,False
jejunal epithelium,10x 5' v2,3,66,10313,0.0375462718138551,0.02538339502908514,0.8846153846153846,0.8,0.11538461538461539,0.17142857142857143,0.34285714285714286,0.2692307692307692,0.6,0.6,0.9142857142857143,0.8,False
jejunum lamina propria,10x 3' v3,2,72,11417,0.045282525520722795,0.03887492974994319,0.8572727272727273,0.7990909090909091,0.0,0.11545454545454546,0.2581818181818182,0.46545454545454545,0.6181818181818182,0.7609090909090909,0.8145454545454545,0.2981818181818182,False
jejunum lamina propria,10x 5' v2,3,71,6030,0.07603767003836763,0.06086501569584932,0.6666666666666666,0.8333333333333334,0.08333333333333333,0.25,0.4166666666666667,0.5,0.5,0.75,0.5833333333333334,0.5,False
liver,10x 5' v1,5,1515,2682,0.026119402985074626,0.06343283582089553,0.8808777429467085,0.851063829787234,0.19122257053291536,0.1347517730496454,0.19278996865203762,0.542319749216301,0.78125,0.875,0.7899686520376176,0.723404255319149,True
