tissue,assay,donor,n_nk,n_nonnk,IL15_nonNK,IL15RA_nonNK,IL2RB_NK,IL2RG_NK,CISH_NK,BCL2_NK,SOCS1_NK,PIM1_NK,CCL3_NK,CCL4_NK,CCL5_NK,XCL1_NK
jejunum lamina propria,10x 3' v3,D496,22,3908,0.05194472876151484,0.039662231320368474,0.9545454545454546,0.8181818181818182,0.0,0.09090909090909091,0.13636363636363635,0.5909090909090909,0.6363636363636364,0.6818181818181818,0.9090909090909091,0.13636363636363635
jejunum lamina propria,10x 3' v3,D503,50,7509,0.03862032227993075,0.03808762817951791,0.76,0.78,0.0,0.14,0.38,0.34,0.6,0.84,0.72,0.46
jejunum lamina propria,10x 5' v2,582C,12,264,0.026515151515151516,0.026515151515151516,0.6666666666666666,0.8333333333333334,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.5,0.5,0.75,0.5833333333333334,0.75
jejunum lamina propria,10x 5' v2,637C,4,32,0.125,0.0625,0.5,0.5,0.0,0.25,0.5,0.5,0.5,0.25,0.25,0.5
jejunum lamina propria,10x 5' v2,640C,55,5734,0.07603767003836763,0.06086501569584932,0.8181818181818182,0.8363636363636363,0.09090909090909091,0.2909090909090909,0.34545454545454546,0.509090909090909,0.6,0.8181818181818182,0.9090909090909091,0.45454545454545453
blood,10x 3' v3,D496,950,5493,0.01711268887675223,0.0260331330784635,0.5821052631578948,0.8673684210526316,0.015789473684210527,0.14526315789473684,0.17578947368421052,0.2505263157894737,0.30526315789473685,0.6736842105263158,0.8852631578947369,0.02631578947368421
blood,10x 3' v3,D503,2561,7595,0.005661619486504279,0.04818959842001316,0.5337758688012495,0.646622413119875,0.003904724716907458,0.116751269035533,0.26552128074970716,0.4221007418976962,0.6556032799687622,0.7313549394767669,0.6852791878172588,0.2951971885982038
blood,10x 5' v1,A35,81,741,0.014844804318488529,0.07422402159244265,0.8395061728395061,0.9135802469135802,0.037037037037037035,0.07407407407407407,0.04938271604938271,0.4444444444444444,0.25925925925925924,0.7283950617283951,0.9382716049382716,0.37037037037037035
blood,10x 5' v1,A36,125,2003,0.02945581627558662,0.06040938592111832,0.84,0.928,0.024,0.12,0.232,0.384,0.152,0.672,0.896,0.128
blood,10x 5' v2,621B,4,86,0.0,0.023255813953488372,0.75,1.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5
blood,10x 5' v2,637C,263,431,0.02088167053364269,0.03944315545243619,0.844106463878327,0.8022813688212928,0.030418250950570342,0.12927756653992395,0.467680608365019,0.5361216730038023,0.8250950570342205,0.8631178707224335,0.8517110266159695,0.18631178707224336
jejunal epithelium,10x 3' v3,D496,4,7104,0.046875,0.01393581081081081,0.75,0.5,0.0,0.0,0.0,0.25,0.0,1.0,1.0,0.5
jejunal epithelium,10x 3' v3,D503,56,9031,0.033883290886944965,0.031668696711327646,0.6785714285714286,0.625,0.017857142857142856,0.19642857142857142,0.25,0.375,0.5892857142857143,0.8928571428571429,0.7321428571428571,0.5
jejunal epithelium,10x 5' v2,582C,26,349,0.0,0.0057306590257879654,0.8846153846153846,0.9230769230769231,0.11538461538461539,0.23076923076923078,0.038461538461538464,0.2692307692307692,0.23076923076923078,0.34615384615384615,0.46153846153846156,0.9230769230769231
