tissue,assay,IL15_nonNK,IL15RA_nonNK,IL2RB_NK,IL2RG_NK,CISH_NK,BCL2_NK,SOCS1_NK,PIM1_NK,CCL3_NK,CCL4_NK,CCL5_NK,XCL1_NK
blood,10x 3' v3,0.014249921529190242,0.04265048208462575,0.5700229145687334,0.8121819190694424,0.012818286442384759,0.13813518567993588,0.243088328983333,0.37920713537064055,0.5680182494502559,0.7169372572391541,0.8352671653753674,0.2279768388170739
blood,10x 5' v1,0.025803063286312097,0.07077036267461156,0.8398765432098765,0.9243950617283951,0.033777777777777775,0.10851851851851851,0.1863456790123457,0.42933333333333334,0.23244444444444443,0.7142962962962963,0.9277037037037037,0.30977777777777776
blood,10x 5' v2,0.015661252900232018,0.03539632007769924,0.8205798479087453,0.9505703422053232,0.022813688212927757,0.09695817490494296,0.4919201520912547,0.5270912547528517,0.7438212927756653,0.9657794676806084,0.9629277566539924,0.4215779467680608
bone marrow,10x 3' v3,0.028950876396846105,0.028735598225146694,0.6875025539000608,0.866119451013643,0.04148321151230043,0.22557652165622122,0.29768418727238366,0.40233151921299015,0.7473420285117403,0.9523605059786799,0.838336849202417,0.18863605987703824
bone marrow,10x 5' v1,0.042328042328042326,0.042328042328042326,0.8616352201257862,0.8902439024390244,0.11320754716981132,0.2756756756756757,0.5789473684210527,0.45121951219512196,0.8421052631578947,0.9811320754716981,0.9182389937106918,0.4540540540540541
bone marrow,10x 5' v2,0.02687497313792066,0.044382568750186216,0.8234747023809523,0.8950892857142857,0.09151785714285714,0.32413419913419916,0.4451941287878788,0.5591179653679653,0.6853693181818181,0.8461174242424243,0.8772321428571428,0.2908380681818182
caecum,10x 5' v1,0.03394648829431438,0.13695652173913045,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0
duodenum,10x 5' v1,0.02912621359223301,0.05469255663430421,1.0,0.9375,0.1875,0.8125,0.1875,0.8125,0.875,0.9375,1.0,0.375
ileum,10x 5' v1,0.041811846689895474,0.07317073170731707,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
jejunal epithelium,10x 3' v3,0.04362707272173624,0.027235475236198438,0.7321428571428572,0.59375,0.013392857142857142,0.14732142857142858,0.1875,0.34375,0.4419642857142857,0.9732142857142857,0.9330357142857143,0.5
