batch,lin,nT,nN,medT,medN,log2ratio
48,NK,54,112,862.0,990.0,-0.19974065587787393
48,CD8T,249,243,1157.0,973.0,0.24987715432637844
48,B,410,195,2938.0,3291.0,-0.16369163056806924
48,Myeloid,807,1280,2953.0,4377.5,-0.5679258221869659
51,NK,82,158,1673.0,1639.5,0.02918154364529188
51,CD8T,306,190,2028.0,1722.5,0.23555366941168676
51,B,409,148,2764.0,1883.0,0.5537246157740302
51,Myeloid,997,712,3765.0,2002.5,0.910847622263218
52,NK,108,147,1759.0,1839.0,-0.06416599693997677
52,CD8T,253,150,2228.0,2074.0,0.10333333852680607
52,B,410,125,3155.0,1436.0,1.1355842560468599
52,Myeloid,872,668,4059.0,2084.0,0.961769062419185
53,NK,122,618,1159.0,1270.5,-0.1325158090468831
53,CD8T,172,1238,1198.0,1084.0,0.14426315143491414
53,B,134,735,3661.0,2046.0,0.8394316285592168
53,Myeloid,1092,2406,3519.5,2310.0,0.607477634392443
54,NK,148,271,1534.0,1583.0,-0.045362772634247664
54,CD8T,581,586,1540.0,1529.0,0.010341944221458961
54,B,545,254,2054.0,1307.5,0.6516252351838914
54,Myeloid,1404,1391,4630.0,2467.0,0.9082544778474757
55,NK,176,262,1536.5,1505.5,0.029405058868284813
55,CD8T,574,508,1525.5,1456.5,0.06677647843830786
55,B,511,204,2115.0,1610.0,0.39359697500533286
55,Myeloid,1254,1323,4455.5,2384.0,0.9022031054968004
56,NK,521,498,1687.0,1604.5,0.07233618400575818
56,CD8T,673,777,1770.0,1617.0,0.13042968149669812
56,B,911,832,3386.0,1793.0,0.9172064850272669
56,Myeloid,1999,3096,3667.0,6682.0,-0.8656797166233042
88,NK,161,603,1512.0,1768.0,-0.225660135170359
88,CD8T,693,426,1842.0,1870.5,-0.02215090445949061
88,B,1303,557,2261.0,1607.0,0.49259106307643524
88,Myeloid,3827,3197,10663.0,7903.0,0.4321410794331282
89,NK,104,282,814.0,2373.5,-1.543915350163185
89,CD8T,320,192,2655.0,2557.0,0.054259700449867256
89,B,556,263,3058.5,2085.0,0.5527768924057268
89,Myeloid,1387,1130,13072.0,8114.5,0.6879057820860757
90,NK,272,378,1118.5,1811.5,-0.6956195493941686
90,CD8T,360,395,2075.5,2408.0,-0.21437646015609432
90,B,1584,431,14721.0,3325.0,2.146449431513469
90,Myeloid,1321,1092,2722.0,3016.0,-0.14796936176466954
91,NK,292,368,1114.0,2003.0,-0.846413188472676
91,CD8T,389,420,1954.0,2278.0,-0.22133727973972667
91,B,1560,415,14615.5,3393.0,2.1068658497936985
91,Myeloid,1353,1204,2353.0,3146.0,-0.41901735019138925
92,NK,310,398,945.5,1824.0,-0.9479563662149803
92,CD8T,449,492,2019.0,2257.0,-0.16076550786036284
92,B,1587,540,15182.0,2903.5,2.3864969174776145
92,Myeloid,1427,1155,2233.0,3222.0,-0.5289732428840954
93,NK,281,371,934.0,1906.0,-1.0290536642002799
93,CD8T,395,359,2158.0,2387.0,-0.1455037015937596
93,B,1492,453,14362.5,3686.0,1.962178916790125
93,Myeloid,1341,1083,2100.0,3323.0,-0.6620969651385465
342,NK,141,198,1384.0,1596.5,-0.20606860993336895
342,CD8T,359,399,2102.0,1899.0,0.1465227638126809
342,B,1037,210,2713.0,2197.0,0.30435417785858976
342,Myeloid,1067,958,4405.0,3401.0,0.37318301309993407
343,NK,157,215,1127.0,1567.0,-0.47551766430035913
343,CD8T,415,409,2211.0,2143.0,0.045067175139678284
343,B,1167,313,2785.0,1694.0,0.7172434528951955
343,Myeloid,1030,1012,3972.5,3444.0,0.20596207683903758
344,NK,144,224,1058.5,1468.5,-0.4723219963172618
344,CD8T,371,397,2249.0,2055.0,0.13014526720877156
344,B,1028,196,2850.5,2586.0,0.1404927263228072
344,Myeloid,1032,965,4258.5,3690.0,0.2067245334977894
345,NK,152,203,1152.5,1749.0,-0.6017635386049524
345,CD8T,382,423,2271.5,2248.0,0.015003269835816584
345,B,1024,176,2936.5,2504.0,0.22986307556480906
345,Myeloid,1016,1013,4437.0,3667.0,0.2749842871085579
346,NK,160,233,1179.5,1452.0,-0.2998660347562881
346,CD8T,373,439,2169.0,2064.0,0.07158708224901983
346,B,1155,314,2837.0,1907.0,0.5730613069616027
346,Myeloid,1007,1001,3922.0,3584.0,0.13001889813454498
347,NK,130,207,1207.5,1534.0,-0.3452752937797979
347,CD8T,386,362,2265.0,2107.5,0.10397841910415294
347,B,1119,293,2740.0,2029.0,0.43340702809123016
347,Myeloid,957,1010,4431.0,3810.5,0.21765201146954682
348,NK,165,202,1074.0,1617.0,-0.5903256854882489
348,CD8T,407,422,2299.0,2231.5,0.042992659466324926
348,B,1181,323,2898.0,1766.0,0.7145722519084633
348,Myeloid,1061,1008,4281.0,3870.0,0.1456142691651469
