dataset	gate	quantity	gene	n_bm	n_pb	mean_bm	mean_pb	delta	sd_bm	sd_pb	paired	t	p	q_bh
GSE233304	ratio	rho_narrow		4	4	0.009025621657426925	0.0027967330693032	0.006228888588123725	0.013904796555625768	0.0035867463676180007	True	1.1858745871591798	0.3210389777699189	
GSE233304	ratio	rho_wide		4	4	0.014860872576548851	0.003090230442916075	0.011770642133632776	0.016310027710260182	0.0018580728541677052	True	1.4089557264250976	0.25361106452481336	
GSE233304	ratio	rho_median		1	1	0.0080500158567767	0.0048685917992395	0.0031814240575372002			True			
GSE233304	ratio	amb_CX3CR1	CX3CR1	4	4	0.0037030628776194385	0.000381316326447425	0.0033217465511720134	0.006942373888136085	0.00040690362261772476	True	1.0116071157536746	0.3862305150736016	0.41036992226570174
GSE233304	ratio	amb_HAVCR2	HAVCR2	4	4	0.0075912100584340746	0.00115467721817975	0.0064365328402543245	0.007754569064504715	0.0014763561578378028	True	1.6014202859175175	0.20760105052336048	0.41036992226570174
GSE233304	ratio	amb_ZEB2	ZEB2	4	4	0.0042945493738677	0.0031351656559028	0.0011593837179648997	0.006245449231132842	0.003233430163964181	True	0.4730370405413005	0.6684752522612141	0.6684752522612141
GSE233304	ratio	amb_CD69	CD69	4	4	0.0031189510682703	0.0019330470622504253	0.0011859040060198747	0.004061882696923685	0.0032625411126934625	True	2.621921830930698	0.0788709074191312	0.41036992226570174
GSE233304	ratio	amb_CXCR6	CXCR6	1	1	0.0008628127696289	0.0	0.0008628127696289			True			
GSE233304	ratio	amb_S1PR1	S1PR1	4	4	0.0083822423250485	0.0019418443669721999	0.0064403979580763	0.014942839156824981	0.002790175423297528	True	1.0575575491587306	0.3678804533911184	0.41036992226570174
GSE233304	ratio	amb_SELPLG	SELPLG	4	4	0.006214523291052053	0.0015609825719326003	0.004653540719119453	0.010807180620382936	0.002325810275603189	True	1.094145699229775	0.3538751473796543	0.41036992226570174
GSE233304	ratio	amb_SELL	SELL	4	4	0.012299654527323699	0.0041544558276604745	0.008145198699663224	0.0166745696849838	0.004425007405881088	True	1.0276839656888166	0.3797126976729905	0.41036992226570174
GSE233304	ratio	amb_TIGIT	TIGIT	4	4	0.0020326977301599	0.0008185085054087251	0.0012141892247511748	0.0027041231420474533	0.0011030786588775573	True	1.499392875003563	0.23072964666703705	0.41036992226570174
GSE233304	ratio	amb_CD96	CD96	4	4	0.0023320421065260747	0.0008422358168494	0.0014898062896766748	0.003132739879898309	0.0010869776730200583	True	1.4351995105254776	0.24672729394974366	0.41036992226570174
GSE233304	ratio	amb_CD226	CD226	4	4	0.0034414510015627502	0.0006629702005964249	0.0027784808009663252	0.0046866456483243436	0.000731375983164976	True	1.370127314300937	0.2641775899962898	0.41036992226570174
GSE233304	ratio	amb_GZMB	GZMB	4	4	0.0011855221786639342	0.00029847821767557345	0.0008870439609883607	0.002211463313331723	0.0005243249013127339	True	1.051356376975291	0.3703069822289265	0.41036992226570174
GSE233304	ratio	amb_GZMH	GZMH	4	4	0.004348237345337057	0.0014166669128275753	0.002931570432509482	0.007982705104634958	0.002684323819033465	True	1.1055121664582546	0.34963156570261206	0.41036992226570174
GSE233304	ratio	amb_GNLY	GNLY	4	4	0.0005705445885446494	0.00035035739508911185	0.00022018719345553756	0.0009341662214075268	0.0005953537003481243	True	1.272185193149391	0.29296366592700623	0.41036992226570174
GSE233304	ratio	amb_NCAM1	NCAM1	4	4	0.00030011518659414833	0.00013310929195434193	0.0001670058946398064	0.0002708500952831109	0.00014185822518469096	True	1.0477457089858044	0.3717269618491368	0.41036992226570174
