gene,quadrant,reason,delta,equiv_key,change_key,NK_log2FC,NK_SE,NK_CI95_lo,NK_CI95_hi,NK_CI90_lo,NK_CI90_hi,NK_null_change,NK_null_equiv,NK_saturated,NK_changed,NK_equivalent,NK_TOST_p,CD8T_log2FC,CD8T_SE,CD8T_CI95_lo,CD8T_CI95_hi,CD8T_CI90_lo,CD8T_CI90_hi,CD8T_null_change,CD8T_null_equiv,CD8T_saturated,CD8T_changed,CD8T_equivalent,CD8T_TOST_p,CD4T_log2FC,CD4T_SE,CD4T_CI95_lo,CD4T_CI95_hi,CD4T_CI90_lo,CD4T_CI90_hi,CD4T_null_change,CD4T_null_equiv,CD4T_saturated,CD4T_changed,CD4T_equivalent,CD4T_TOST_p,B_log2FC,B_SE,B_CI95_lo,B_CI95_hi,B_CI90_lo,B_CI90_hi,B_null_change,B_null_equiv,B_saturated,B_changed,B_equivalent,B_TOST_p,Myeloid_log2FC,Myeloid_SE,Myeloid_CI95_lo,Myeloid_CI95_hi,Myeloid_CI90_lo,Myeloid_CI90_hi,Myeloid_null_change,Myeloid_null_equiv,Myeloid_saturated,Myeloid_changed,Myeloid_equivalent,Myeloid_TOST_p
A1BG,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.9584453439853042,0.38926434465650245,0.15218784486204584,1.7647028431085627,0.29066678270558866,1.6262239052650198,0.9871738195456923,0.9568324960166091,False,False,False,0.8743910961857625,0.691035517332303,0.3400576079940325,-0.009315548299849485,1.3913865829644554,0.11017597904903664,1.2718950556155693,0.8294574540445578,0.7135126203947276,False,False,False,0.7103646956365031,-0.14498821860045707,0.1959750778591453,-0.5510309104735225,0.26105447327260833,-0.4812643624793908,0.19128792527847666,0.3510503491632401,0.33727229049944685,False,False,True,0.04175643016692783,-0.451907523631853,0.25720600150793554,-0.9972426712516953,0.09342762398798926,-0.9010107304591772,-0.002804316804528806,0.6373319333394946,0.5825949969291986,False,False,False,0.42701538186625565,0.21579238298104492,0.23018035225077554,-0.28281223483614903,0.7143970007982389,-0.19266153652562612,0.624246302487716,0.44529139417440367,0.42166446566355514,False,False,False,0.11967473744554392
AAED1,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.11016578509863476,0.29569375689809224,-0.5022851424410864,0.7226167126383558,-0.39709349582791487,0.6174250660251843,0.5972511411371606,0.5353473310369125,False,False,False,0.1003232782822747,0.03663962138469947,0.36556499920567886,-0.7162440981173415,0.7895233408867404,-0.587789627246784,0.6610688700161829,0.9833712502684623,0.863144354757814,False,False,False,0.10832300203275977,-0.6234664577919113,0.1893470060849775,-1.0157763825472859,-0.23115653303653683,-0.9483694084979258,-0.29856350708589685,0.6234664577919018,0.5039164020177802,False,True,False,0.7394974196519541,0.39848554400414105,0.3546235805257366,-0.3533969995667289,1.150368087575011,-0.22071690965937674,1.0176879976676587,0.8242153442092452,0.688959437511509,False,False,False,0.3891796555910119,-0.07402161149584294,0.1290605589426964,-0.3535858316287095,0.20554260863702364,-0.3030389478514418,0.15499572485975593,0.2566396950704305,0.2157735200287042,False,False,True,0.0029622940258659286
AAK1,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.17794789545364822,0.17986174239753736,-0.5504836301132285,0.19458783920593206,-0.4864986713370052,0.13060288042970877,0.43349238202201223,0.37954797157496956,False,False,True,0.043417174229480694,-0.17073925580106153,0.1926508347301064,-0.5675050220312392,0.2260265104291162,-0.4998101904915719,0.15833167888944882,0.36204013022406445,0.3313389525413278,False,False,True,0.04990741023956576,-0.1526405352813454,0.14864324176915222,-0.46061593029593606,0.15533485973324523,-0.4076993759351596,0.10241830537246877,0.3805745858122362,0.3108528664989706,False,False,True,0.014394982427677797,-1.092945199808685,0.45986804859605984,-2.0679699220022054,-0.11792047761516455,-1.8959133037063005,-0.28997709591106946,1.4639424664826375,1.2253995443378198,False,False,False,0.8921860641344794,-0.43856294795480605,0.12636598059125811,-0.7122903136560935,-0.16483558225351858,-0.6627987680849726,-0.21432712782463945,0.3488127166777755,0.3403864102740783,False,False,False,0.31756972911480336
AAMP,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.15289231063253741,0.24206995377269663,-0.6542758003376661,0.3484911790725913,-0.5681605664549972,0.26237594518992235,0.4572718500406867,0.4207551022385592,False,False,False,0.08267613411858586,-0.20016501639678633,0.3040049957296436,-0.8262654702954391,0.42593543750186647,-0.71944233089941,0.3191122981058374,0.4064216147208663,0.35078420990974457,False,False,False,0.1667206764648414,0.21920288417123399,0.22244774939190076,-0.24168879629596904,0.680094564638437,-0.16249805554631616,0.6009038238887842,0.4656472516603865,0.4073012543429672,False,False,False,0.1099215920947859,0.5380276503576097,0.31532257690780513,-0.1305278383080838,1.2065831390233033,-0.012551961487029528,1.088607262202249,0.8707546080686992,0.7552794800661083,False,False,False,0.5472436216070524,-0.028579023292792268,0.158521505243043,-0.3719600015763002,0.31480195499071567,-0.30987466607674347,0.2527166194911589,0.2819583762132857,0.25343443404947746,False,False,True,0.005515854650125677
AASDHPPT,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.32951292000930044,0.3296743402725506,-0.3533197430947609,1.0123455831133619,-0.2360396656823307,0.8950655057009316,0.6621721742343067,0.5906170294996357,False,False,False,0.3050539420967129,0.047186940946817864,0.3792902916190095,-0.7339641160351648,0.8283379979288005,-0.6006867677602359,0.6950606496538716,0.7558824269443343,0.49281695176965773,False,False,False,0.12187085273887484,-0.02120889766100296,0.32034976131760834,-0.6849447198239924,0.6425269245019865,-0.5709011524376479,0.528483357115642,0.6423841783812922,0.5772506107644284,False,False,False,0.07449911688488776,0.39460664666340217,0.4398117541073379,-0.537894175420514,1.3271074687473183,-0.37334148834099024,1.1625547816677946,0.9020720822967815,0.8630852434804567,False,False,False,0.40683168530063973,0.029980054644168808,0.22006305634983986,-0.4467090069289648,0.5066691162173025,-0.3605207723194699,0.4204808816078075,0.5078455236527164,0.39692369436630887,False,False,True,0.026412242025346165
AATF,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.1698929702307924,0.252247735656633,-0.35257108614068655,0.6923570266022714,-0.2628351547956429,0.6026210952572277,0.4902970840546303,0.4240322236544879,False,False,False,0.10193117166903407,-0.2489993700476457,0.26117928390364636,-0.7868999654260944,0.288901225330803,-0.6951251872359158,0.19712644714062436,0.5027063986140671,0.4959032507969373,False,False,False,0.17286942367590288,0.01808869536711856,0.18556117261361518,-0.3663773237728697,0.4025547145071068,-0.30031809524025044,0.33649548597448753,0.3267514331294259,0.2581486743358967,False,False,True,0.008162941127131673,-0.15896557724421917,0.2692554491700318,-0.7298482909434791,0.41191713645504086,-0.6291081282307756,0.31117697374233716,0.5561186878795444,0.49923484392539097,False,False,False,0.11173323677955053,-0.159426542052648,0.17153946005839002,-0.5310063319288849,0.2121532478235889,-0.46382248256529607,0.14496939846000007,0.38067354443726725,0.3174528101353585,False,False,True,0.03459220224262009
ABCD4,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.1132314871742437,0.27785050663546934,-0.688724870231776,0.4622618958832886,-0.5898808749716329,0.36341790062314544,0.3952158820081884,0.34107863763602236,False,False,False,0.08876651742423813,-0.10359026687209293,0.35226063546237907,-0.8290735544880715,0.6218930207438856,-0.7052940525248996,0.49811351878071375,0.5122975534567468,0.47373778743562084,False,False,False,0.13556689202622935,-0.12385325327084896,0.29895811070321043,-0.7432675040689267,0.4955609975272288,-0.6368393010215915,0.3891327944798936,0.7586703959657403,0.549640932622477,False,False,False,0.11064973817821683,-0.15054966597428218,0.30150433386942743,-0.7898073405804229,0.4887080086318585,-0.6770014688841703,0.3759021369356059,0.4603631692099499,0.4312208325471879,False,False,False,0.1317421420158424,0.29006451278464856,0.21422917405726769,-0.17398749865612023,0.7541165242254173,-0.09008411832456031,0.6702131438938574,0.45661503841030254,0.3895613541318521,False,False,False,0.17272645754363727
ABCE1,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.39665913013423354,0.3298959175641449,-0.2866324713633273,1.0799507316317944,-0.16927356888404627,0.9625918291525133,0.6672187295844533,0.5714395541846979,False,False,False,0.37848729739398757,0.8252578330143581,0.4152227456073628,-0.029896368875834023,1.6804120349045502,0.1160071454001721,1.534508520628544,1.0871957886413135,0.9369602746335741,False,False,False,0.7796062719878243,-0.03568631825217494,0.25334659221604894,-0.5605976151580423,0.4892249786536924,-0.4704069777664121,0.3990343412620622,0.43020698422341136,0.40332538665162815,False,False,True,0.04009579893484973,-0.32068204819873686,0.2641682465830192,-0.8807787368538846,0.23941464045641087,-0.7819419176684813,0.1405778212710076,0.5238092857952918,0.4124516602102416,False,False,False,0.2534909248862644,-0.05343584618592993,0.15356253765518832,-0.3860749687257455,0.2792032763538856,-0.3259318250187241,0.2190601326468642,0.2892431252864013,0.23294906978711738,False,False,True,0.006251119613623298
ABCF1,unclassified,no quadrant rule satisfied,0.5,p95,p99,0.045606123688259045,0.25146122445275965,-0.4752288840303644,0.5664411314068825,-0.3857727503025686,0.4769849976790867,0.6318517200020352,0.5045837489136253,False,False,True,0.0420778340401129,0.024915729936431496,0.2519400756126558,-0.49395665016295726,0.5437881100358203,-0.405428401631966,0.45525986150482894,0.3942839196784734,0.3737533030875478,False,False,True,0.03550157814164271,0.054577260729739695,0.2207960938882182,-0.40289233844994243,0.5120468599094218,-0.3242895821737554,0.43344410363323477,0.5606833658293191,0.48826156395262565,False,False,True,0.02790833227149054,0.18341940480648,0.2861186312310059,-0.42321708533908065,0.7900558949520406,-0.31616767351029423,0.6830064831232543,0.6882462072036691,0.5401088233879752,False,False,False,0.14245694415324356,0.008795505682751076,0.15790508181418852,-0.3332502084691654,0.35084121983466754,-0.27140629671417593,0.28899730807967805,0.25819715122539405,0.23613058497670392,False,False,True,0.004250984423426279
ABHD12,unclassified,no quadrant rule satisfied,0.5,p95,p99,-0.554850565575388,0.30394268675639713,-1.1843869561155,0.07468582496472387,-1.0762607919673821,-0.03344033918339395,0.6422225876427519,0.5797449705245948,False,False,False,0.5707976613881369,0.43878520076122796,0.4101536559377955,-0.40592917485126867,1.2834995763737247,-0.26180686838431033,1.1393772699067664,0.7882813878365412,0.7566205213537859,False,False,False,0.44127734810898234,0.1699192847305645,0.2632206472747119,-0.3754501639950154,0.7152887334561444,-0.2817443922114395,0.6215829616725685,0.4162780396116165,0.35055634171284056,False,False,False,0.11139417334146308,0.13433313050412493,0.32732594769872775,-0.5596722308077227,0.8283384918159726,-0.43720537142603383,0.7058716324342837,0.7804324684017299,0.6639705999084694,False,False,False,0.14023128330119583,0.3953931403684853,0.17795758241894774,0.009910750138229285,0.7808755305987413,0.07960827283226946,0.7111780079047011,0.4520026160019132,0.43289862408505253,False,False,False,0.28349278386594834
