dataset	gate	gene	det_BM	det_PB	testable
GSE233304	ratio	CX3CR1	0.33884297520661155	0.5948844884488449	True
GSE233304	ratio	HAVCR2	0.2699724517906336	0.28795379537953797	True
GSE233304	ratio	ZEB2	0.8787878787878788	0.863036303630363	False
GSE233304	ratio	CD69	0.8746556473829201	0.8143564356435643	False
GSE233304	ratio	CXCR6	0.008264462809917338	0.013201320132013163	False
GSE233304	ratio	S1PR1	0.22589531680440772	0.25577557755775576	True
GSE233304	ratio	SELPLG	0.5206611570247934	0.584983498349835	True
GSE233304	ratio	SELL	0.21763085399449036	0.2698019801980198	True
GSE233304	ratio	TIGIT	0.2079889807162534	0.31683168316831684	True
GSE233304	ratio	CD96	0.7024793388429752	0.7615511551155115	True
GSE233304	ratio	CD226	0.30165289256198347	0.485973597359736	True
GSE233304	ratio	GZMB	0.8333333333333334	0.9216171617161716	False
GSE233304	ratio	GZMH	0.5785123966942148	0.7252475247524752	True
GSE233304	ratio	GNLY	0.8636363636363636	0.9546204620462047	False
GSE233304	ratio	NCAM1	0.42424242424242425	0.48514851485148514	True
GSE233304	ratio	FCGR3A	0.7134986225895317	0.8902640264026402	False
GSE233304	ratio	KLRC1	0.23966942148760326	0.349009900990099	True
GSE233304	ratio	KLRD1	0.8994490358126722	0.9513201320132013	False
HCA_ICA	ratio	CX3CR1	0.07369644933369106	0.29301403294691886	True
HCA_ICA	ratio	HAVCR2	0.09359627940255787	0.13282489322757773	True
HCA_ICA	ratio	ZEB2	0.32944280475807175	0.3548810250152532	True
HCA_ICA	ratio	CD69	0.32917449244253644	0.2533862111043319	True
HCA_ICA	ratio	CXCR6	0.004382434487076256	0.002928615009151884	False
HCA_ICA	ratio	S1PR1	0.023387890170825466	0.04392922513727879	False
HCA_ICA	ratio	SELPLG	0.1405956533404883	0.22892007321537522	True
HCA_ICA	ratio	SELL	0.19752258295322417	0.2561928004881025	True
HCA_ICA	ratio	TIGIT	0.08845362668813161	0.09893227577791333	True
HCA_ICA	ratio	CD96	0.15884089079688754	0.15085417937766932	True
HCA_ICA	ratio	CD226	0.07168410696717642	0.1294081757169005	True
HCA_ICA	ratio	GZMB	0.811018692424649	0.8478340451494814	True
HCA_ICA	ratio	GZMH	0.5392183167874072	0.5910311165344723	True
HCA_ICA	ratio	GNLY	0.9465164117699669	0.9539963392312386	False
HCA_ICA	ratio	NCAM1	0.05938645917180929	0.08517388651616835	True
HCA_ICA	ratio	FCGR3A	0.4265718629818442	0.7020439292251373	True
HCA_ICA	ratio	KLRC1	0.2509614524640014	0.30170835875533863	True
HCA_ICA	ratio	KLRD1	0.753734013057866	0.8765405735204392	False
