dataset,cancer,tissue_group,donor,n_cells,median,q25,q75,mean,median_depth,median_frac_effector,usable
E-MTAB-12305,cervical,HSIL,P38,583,2.057020190214668,1.5039788307379933,2.4480208433245405,1.9305686336714656,5681.0,0.007761715339089939,True
E-MTAB-12305,cervical,HSIL,P42,520,1.970621449209061,1.528425156477184,2.361429968349982,1.8833727488891074,3414.0,0.007505763846875611,True
E-MTAB-12305,cervical,adjacent,P45,15,0.0,0.0,0.7940738514744342,0.5339725923490709,2931.0,0.0,True
E-MTAB-12305,cervical,adjacent,P50,23,1.7402187703778278,0.8010837550963639,2.162723823927356,1.4592983946996312,3134.0,0.00597099800966733,True
E-MTAB-12305,cervical,adjacent,P51,1,1.541539108019314,1.541539108019314,1.541539108019314,1.541539108019314,5507.0,0.004539676775013619,False
E-MTAB-12305,cervical,cancer,P45,6,1.502264458306139,1.1542628549859604,1.970611387467177,1.516053512548386,2561.5,0.008689874471870864,False
E-MTAB-12305,cervical,cancer,P48,140,1.9591573805297504,1.6134265541996815,2.362259200241084,1.9278297086322145,3446.5,0.008117749970453723,True
E-MTAB-12305,cervical,cancer,P50,21,0.7962905974772329,0.0,1.568127437504429,0.8323419855196763,4382.0,0.0014590020426028597,True
E-MTAB-12305,cervical,cancer,P51,2,0.41825888811011974,0.20912944405505987,0.6273883321651796,0.41825888811011974,889.0,0.0011299435028248588,False
E-MTAB-12305,cervical,met_LN,P48,243,1.6180752788739117,1.2171648924659302,2.115638891088982,1.6178662325889999,3995.0,0.005787037037037037,True
GSE173231,cervical,healthy,CX1,5,1.3211882754287136,0.6719447757716984,1.8912538354613586,1.3424603447749166,2464.0,0.005681818181818182,False
GSE173231,cervical,healthy,CX2,37,1.1799063918137611,0.8463757978780241,1.539383738367019,1.1748947426371161,2509.0,0.003815469996531391,True
GSE173231,cervical,healthy,CX3,46,2.1046688953934582,1.7240358994552143,2.4903146216948717,2.0228449256750567,3688.0,0.008308783501397214,True
GSE173231,cervical,healthy,CX4,15,0.6736063893176308,0.40462503436093245,0.7821271853949378,0.6379425440095606,1963.0,0.0013089005235602095,True
GSE173231,cervical,healthy,CX5,11,1.259123164785377,0.6560728896726458,1.5952569797459653,1.139561106098423,2120.0,0.0023441162681669013,True
GSE173231,cervical,healthy,CX6,199,1.6462027626985611,1.272133035565674,1.9600071325426884,1.6276365333955796,3336.0,0.005902606984751598,True
GSE173231,cervical,healthy,CX7,260,2.0377235352357017,1.56188062424908,2.352081957206963,1.9505163102751542,3231.5,0.009074895914352381,True
GSE173231,cervical,healthy,CX8,28,1.5018093093049516,1.3378902985854344,1.7259988832131326,1.5264119342461622,3653.0,0.004288298472674479,True
GSE197461,cervical,cancer,ADC_1,29,1.4741464658757772,1.1205874187857836,2.10044988039857,1.6287656321986033,3164.0,0.004811344644213725,True
GSE197461,cervical,cancer,ADC_2,12,1.7453407836030204,1.5154680217746475,2.5618238311057926,1.8974684489721392,3190.5,0.007569208036763475,True
GSE197461,cervical,cancer,ADC_3,1,1.701599961842134,1.701599961842134,1.701599961842134,1.701599961842134,2992.0,0.004344919786096257,False
GSE197461,cervical,cancer,ADC_4,84,2.073069792669717,1.850265366827047,2.4308421684855253,2.1190747510915138,2780.5,0.008707513437737315,True
GSE197461,cervical,cancer,ADC_5,38,1.8822547312298825,1.5268200644882024,2.304798245127504,1.912614730104821,3632.5,0.007425506585591598,True
GSE197461,cervical,cancer,SCC_1,119,2.6052424637452183,2.177644017109647,2.9272144098994426,2.553861364663072,4694.0,0.01662049861495845,True
GSE197461,cervical,cancer,SCC_2,93,1.9867612667474301,1.629585911974594,2.3766109189896136,1.9742413398904521,3221.0,0.008033419023136246,True
GSE197461,cervical,cancer,SCC_3,34,1.7658068557622892,1.5211132920796078,2.333692704761894,1.8212111261389925,3805.0,0.006388214980018323,True
GSE208653,cervical,HSIL,HSIL_1,175,1.8096916269926584,1.5299458518019997,2.098974090058948,1.7913714677888337,2992.0,0.007754164273406089,True
GSE208653,cervical,HSIL,HSIL_2,189,1.7148468317124232,1.3668634310985823,2.075144096578434,1.703196963787622,2304.0,0.00705371676614216,True
GSE208653,cervical,cancer,ADC_6,123,2.0635768177787397,1.5752895211393467,2.4638463484101214,1.9759241395003926,4023.0,0.008101851851851851,True
GSE208653,cervical,cancer,SCC_4,257,2.0681486577126544,1.6520900073215834,2.4502747923061885,2.0257765241164805,4671.0,0.007680491551459293,True
GSE208653,cervical,cancer,SCC_5,213,1.47179897149556,0.9165487947678953,1.9738213498715662,1.4294917624444008,4490.0,0.004381161007667032,True
GSE208653,cervical,healthy,N_HPVneg_1,373,2.2667542693152116,1.876413179732823,2.5707164464853056,2.1485982474372722,4535.0,0.010150044130626656,True
GSE208653,cervical,healthy,N_HPVneg_2,175,1.743359679082932,1.321369045434841,2.1887380058192956,1.728618406111825,2461.0,0.0071396697902722,True
GSE208653,cervical,healthy,N_HPVpos_1,258,2.0810350859791713,1.6444782616753508,2.4653864940143144,2.0203722647008013,3507.0,0.0076638749511813604,True
GSE208653,cervical,healthy,N_HPVpos_2,46,2.15594791324424,1.7232691083198706,2.3982486637246727,2.1050419916736387,5290.5,0.008876528747041972,True
