human,mouse_ensembl,mouse_symbol,homology_type,one_to_one
PIEZO1,ENSMUSG00000014444,Piezo1,ortholog_one2one,True
PIEZO2,ENSMUSG00000041482,Piezo2,ortholog_one2one,True
TRPV4,ENSMUSG00000014158,Trpv4,ortholog_one2one,True
TRPV2,ENSMUSG00000018507,Trpv2,ortholog_one2one,True
TRPM7,ENSMUSG00000027365,Trpm7,ortholog_one2one,True
TRPC1,ENSMUSG00000032839,Trpc1,ortholog_one2one,True
TMEM63A,ENSMUSG00000026519,Tmem63a,ortholog_one2one,True
TMEM63B,ENSMUSG00000036026,Tmem63b,ortholog_one2one,True
KCNK2,ENSMUSG00000037624,Kcnk2,ortholog_one2one,True
KCNK4,ENSMUSG00000024957,Kcnk4,ortholog_one2one,True
ITGA1,ENSMUSG00000042284,Itga1,ortholog_one2one,True
ITGAE,ENSMUSG00000005947,Itgae,ortholog_one2one,True
CD69,ENSMUSG00000030156,Cd69,ortholog_one2one,True
KLF2,ENSMUSG00000055148,Klf2,ortholog_one2one,True
S1PR1,ENSMUSG00000045092,S1pr1,ortholog_one2one,True
S1PR5,ENSMUSG00000045087,S1pr5,ortholog_one2one,True
SELL,ENSMUSG00000026581,Sell,ortholog_one2one,True
KLRD1,ENSMUSG00000030165,Klrd1,ortholog_one2one,True
NKG7,ENSMUSG00000004612,Nkg7,ortholog_one2one,True
XCL1,ENSMUSG00000026573,Xcl1,ortholog_one2many,False
XCL2,ENSMUSG00000026573,Xcl1,ortholog_one2many,False
