role,human,mouse_ensembl,mouse_symbol,homology_type,one_to_one
channel,PIEZO1,ENSMUSG00000014444,Piezo1,ortholog_one2one,True
channel,PIEZO2,ENSMUSG00000041482,Piezo2,ortholog_one2one,True
channel,TRPV2,ENSMUSG00000018507,Trpv2,ortholog_one2one,True
channel,TRPV4,ENSMUSG00000014158,Trpv4,ortholog_one2one,True
channel,TRPM7,ENSMUSG00000027365,Trpm7,ortholog_one2one,True
channel,TRPC1,ENSMUSG00000032839,Trpc1,ortholog_one2one,True
channel,TRPC6,ENSMUSG00000031997,Trpc6,ortholog_one2one,True
channel,TMEM63A,ENSMUSG00000026519,Tmem63a,ortholog_one2one,True
channel,TMEM63B,ENSMUSG00000036026,Tmem63b,ortholog_one2one,True
channel,KCNK2,ENSMUSG00000037624,Kcnk2,ortholog_one2one,True
channel,KCNK4,ENSMUSG00000024957,Kcnk4,ortholog_one2one,True
mechano_downstream,YAP1,ENSMUSG00000053110,Yap1,ortholog_one2one,True
mechano_downstream,WWTR1,ENSMUSG00000027803,Wwtr1,ortholog_one2one,True
mechano_downstream,ANKRD1,ENSMUSG00000024803,Ankrd1,ortholog_one2one,True
mechano_downstream,CCN2,ENSMUSG00000019997,Ccn2,ortholog_one2one,True
mechano_downstream,CTGF,ENSMUSG00000019997,Ccn2,ortholog_one2one,True
state_activation,IFNG,ENSMUSG00000055170,Ifng,ortholog_one2one,True
state_activation,GZMB,ENSMUSG00000015437,Gzmb,ortholog_one2many,False
state_activation,GZMB,ENSMUSG00000079186,Gzmc,ortholog_one2many,False
state_activation,MKI67,ENSMUSG00000031004,Mki67,ortholog_one2one,True
state_residency,ITGA1,ENSMUSG00000042284,Itga1,ortholog_one2one,True
state_residency,CD69,ENSMUSG00000030156,Cd69,ortholog_one2one,True
state_residency,ITGAE,ENSMUSG00000005947,Itgae,ortholog_one2one,True
state_egress,KLF2,ENSMUSG00000055148,Klf2,ortholog_one2one,True
state_egress,S1PR1,ENSMUSG00000045092,S1pr1,ortholog_one2one,True
state_egress,SELL,ENSMUSG00000026581,Sell,ortholog_one2one,True
procedure_control,XCL1,ENSMUSG00000026573,Xcl1,ortholog_one2many,False
procedure_control,XCL2,ENSMUSG00000026573,Xcl1,ortholog_one2many,False
